dataset,query,knob,value,repetition,seconds
futures,scan_filter,(baseline),@default,1,0.267323
futures,scan_filter,(baseline),@default,2,0.013616
futures,scan_filter,(baseline),@default,3,0.010642
tpch,scan_filter,(baseline),@default,1,0.466065
tpch,scan_filter,(baseline),@default,2,0.386568
tpch,scan_filter,(baseline),@default,3,0.322216
futures,group_by,(baseline),@default,1,0.083414
futures,group_by,(baseline),@default,2,0.040377
futures,group_by,(baseline),@default,3,0.034013
tpch,group_by,(baseline),@default,1,0.705518
tpch,group_by,(baseline),@default,2,0.515410
tpch,group_by,(baseline),@default,3,0.526050
tpch,hash_join,(baseline),@default,1,1.577566
tpch,hash_join,(baseline),@default,2,1.123627
tpch,hash_join,(baseline),@default,3,1.008760
tpch,sort_merge_join,(baseline),@default,1,5.351940
tpch,sort_merge_join,(baseline),@default,2,5.221162
tpch,sort_merge_join,(baseline),@default,3,5.460225
futures,window,(baseline),@default,1,0.899151
futures,window,(baseline),@default,2,0.670496
futures,window,(baseline),@default,3,0.675768
iceberg,append_files,(baseline),@default,1,0.855295
iceberg,append_files,(baseline),@default,2,0.834969
iceberg,append_files,(baseline),@default,3,0.831852
iceberg,overwrite_partition,(baseline),@default,1,0.173732
iceberg,overwrite_partition,(baseline),@default,2,0.164672
iceberg,overwrite_partition,(baseline),@default,3,0.172091
iceberg,merge_updates,(baseline),@default,1,0.669410
iceberg,merge_updates,(baseline),@default,2,0.615992
iceberg,merge_updates,(baseline),@default,3,0.621493
