dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.batch_size,@default,1,0.165385
futures,scan_filter,datafusion.execution.batch_size,@default,2,0.010844
futures,scan_filter,datafusion.execution.batch_size,@default,3,0.012712
tpch,scan_filter,datafusion.execution.batch_size,@default,1,0.348338
tpch,scan_filter,datafusion.execution.batch_size,@default,2,0.263684
tpch,scan_filter,datafusion.execution.batch_size,@default,3,0.280249
futures,group_by,datafusion.execution.batch_size,@default,1,0.027773
futures,group_by,datafusion.execution.batch_size,@default,2,0.040384
futures,group_by,datafusion.execution.batch_size,@default,3,0.031898
tpch,group_by,datafusion.execution.batch_size,@default,1,0.549743
tpch,group_by,datafusion.execution.batch_size,@default,2,0.537392
tpch,group_by,datafusion.execution.batch_size,@default,3,0.529105
tpch,hash_join,datafusion.execution.batch_size,@default,1,1.062751
tpch,hash_join,datafusion.execution.batch_size,@default,2,1.058597
tpch,hash_join,datafusion.execution.batch_size,@default,3,1.198155
tpch,sort_merge_join,datafusion.execution.batch_size,@default,1,4.931880
tpch,sort_merge_join,datafusion.execution.batch_size,@default,2,5.293542
tpch,sort_merge_join,datafusion.execution.batch_size,@default,3,5.340613
futures,window,datafusion.execution.batch_size,@default,1,0.781779
futures,window,datafusion.execution.batch_size,@default,2,0.785860
futures,window,datafusion.execution.batch_size,@default,3,0.667651
iceberg,append_files,datafusion.execution.batch_size,@default,1,0.902509
iceberg,append_files,datafusion.execution.batch_size,@default,2,0.833482
iceberg,append_files,datafusion.execution.batch_size,@default,3,0.814387
iceberg,overwrite_partition,datafusion.execution.batch_size,@default,1,0.170177
iceberg,overwrite_partition,datafusion.execution.batch_size,@default,2,0.167393
iceberg,overwrite_partition,datafusion.execution.batch_size,@default,3,0.169813
iceberg,merge_updates,datafusion.execution.batch_size,@default,1,0.602809
iceberg,merge_updates,datafusion.execution.batch_size,@default,2,0.581467
iceberg,merge_updates,datafusion.execution.batch_size,@default,3,0.602821
futures,scan_filter,datafusion.execution.batch_size,16384,1,0.010505
futures,scan_filter,datafusion.execution.batch_size,16384,2,0.011943
futures,scan_filter,datafusion.execution.batch_size,16384,3,0.015705
tpch,scan_filter,datafusion.execution.batch_size,16384,1,0.169677
tpch,scan_filter,datafusion.execution.batch_size,16384,2,0.190803
tpch,scan_filter,datafusion.execution.batch_size,16384,3,0.166708
futures,group_by,datafusion.execution.batch_size,16384,1,0.047184
futures,group_by,datafusion.execution.batch_size,16384,2,0.033870
futures,group_by,datafusion.execution.batch_size,16384,3,0.057395
tpch,group_by,datafusion.execution.batch_size,16384,1,0.165051
tpch,group_by,datafusion.execution.batch_size,16384,2,0.193280
tpch,group_by,datafusion.execution.batch_size,16384,3,0.169196
tpch,hash_join,datafusion.execution.batch_size,16384,1,0.874519
tpch,hash_join,datafusion.execution.batch_size,16384,2,0.935479
tpch,hash_join,datafusion.execution.batch_size,16384,3,0.919613
tpch,sort_merge_join,datafusion.execution.batch_size,16384,1,5.081916
tpch,sort_merge_join,datafusion.execution.batch_size,16384,2,5.198121
tpch,sort_merge_join,datafusion.execution.batch_size,16384,3,5.243551
futures,window,datafusion.execution.batch_size,16384,1,0.696896
futures,window,datafusion.execution.batch_size,16384,2,1.020639
futures,window,datafusion.execution.batch_size,16384,3,0.660254
iceberg,append_files,datafusion.execution.batch_size,16384,1,0.800478
iceberg,append_files,datafusion.execution.batch_size,16384,2,0.800814
iceberg,append_files,datafusion.execution.batch_size,16384,3,0.801205
iceberg,overwrite_partition,datafusion.execution.batch_size,16384,1,0.168973
iceberg,overwrite_partition,datafusion.execution.batch_size,16384,2,0.166700
iceberg,overwrite_partition,datafusion.execution.batch_size,16384,3,0.164661
iceberg,merge_updates,datafusion.execution.batch_size,16384,1,0.599367
iceberg,merge_updates,datafusion.execution.batch_size,16384,2,0.611108
iceberg,merge_updates,datafusion.execution.batch_size,16384,3,0.613647
futures,scan_filter,datafusion.execution.batch_size,262144,1,0.010735
futures,scan_filter,datafusion.execution.batch_size,262144,2,0.011180
futures,scan_filter,datafusion.execution.batch_size,262144,3,0.014960
tpch,scan_filter,datafusion.execution.batch_size,262144,1,0.341916
tpch,scan_filter,datafusion.execution.batch_size,262144,2,0.321593
tpch,scan_filter,datafusion.execution.batch_size,262144,3,0.398514
futures,group_by,datafusion.execution.batch_size,262144,1,0.091977
futures,group_by,datafusion.execution.batch_size,262144,2,0.045303
futures,group_by,datafusion.execution.batch_size,262144,3,0.044274
tpch,group_by,datafusion.execution.batch_size,262144,1,0.638185
tpch,group_by,datafusion.execution.batch_size,262144,2,0.657887
tpch,group_by,datafusion.execution.batch_size,262144,3,0.673347
tpch,hash_join,datafusion.execution.batch_size,262144,1,1.199338
tpch,hash_join,datafusion.execution.batch_size,262144,2,1.235818
tpch,hash_join,datafusion.execution.batch_size,262144,3,1.242056
tpch,sort_merge_join,datafusion.execution.batch_size,262144,1,5.983483
tpch,sort_merge_join,datafusion.execution.batch_size,262144,2,5.888552
tpch,sort_merge_join,datafusion.execution.batch_size,262144,3,5.888492
futures,window,datafusion.execution.batch_size,262144,1,1.029080
futures,window,datafusion.execution.batch_size,262144,2,0.719605
futures,window,datafusion.execution.batch_size,262144,3,0.719315
iceberg,append_files,datafusion.execution.batch_size,262144,1,0.782584
iceberg,append_files,datafusion.execution.batch_size,262144,2,0.787651
iceberg,append_files,datafusion.execution.batch_size,262144,3,0.782706
iceberg,overwrite_partition,datafusion.execution.batch_size,262144,1,0.165933
iceberg,overwrite_partition,datafusion.execution.batch_size,262144,2,0.188475
iceberg,overwrite_partition,datafusion.execution.batch_size,262144,3,0.270225
iceberg,merge_updates,datafusion.execution.batch_size,262144,1,0.623052
iceberg,merge_updates,datafusion.execution.batch_size,262144,2,0.682103
iceberg,merge_updates,datafusion.execution.batch_size,262144,3,0.635526
