dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_read,@default,1,0.158913
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_read,@default,2,0.014311
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_read,@default,3,0.012196
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_read,@default,1,0.361307
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_read,@default,2,0.277906
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_read,@default,3,0.264907
futures,group_by,datafusion.execution.parquet.bloom_filter_on_read,@default,1,0.028465
futures,group_by,datafusion.execution.parquet.bloom_filter_on_read,@default,2,0.037468
futures,group_by,datafusion.execution.parquet.bloom_filter_on_read,@default,3,0.029511
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_read,@default,1,0.559907
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_read,@default,2,0.531278
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_read,@default,3,0.537984
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_read,@default,1,1.064424
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_read,@default,2,1.140126
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_read,@default,3,1.159741
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_read,@default,1,5.120953
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_read,@default,2,5.178506
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_read,@default,3,5.347838
futures,window,datafusion.execution.parquet.bloom_filter_on_read,@default,1,0.980485
futures,window,datafusion.execution.parquet.bloom_filter_on_read,@default,2,0.655472
futures,window,datafusion.execution.parquet.bloom_filter_on_read,@default,3,0.656361
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_read,@default,1,0.789616
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_read,@default,2,0.798496
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_read,@default,3,0.776774
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_read,@default,1,0.168130
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_read,@default,2,0.168506
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_read,@default,3,0.171231
