dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.160295
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.012453
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.012230
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.354074
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.266402
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.247523
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.038597
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.031249
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.031484
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.560465
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.529241
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.508011
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,@default,1,1.060107
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,@default,2,1.158135
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,@default,3,1.121272
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,@default,1,5.014494
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,@default,2,5.240933
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,@default,3,5.176046
futures,window,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.969178
futures,window,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.623751
futures,window,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.667214
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.773395
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.770091
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.816066
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.165454
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.166144
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.168312
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,@default,1,0.593889
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,@default,2,0.603382
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,@default,3,0.597603
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.010908
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.011377
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.018847
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.305596
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.278493
tpch,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.310998
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.031735
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.087235
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.034191
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.528018
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.529552
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.539680
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,true,1,1.142119
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.999706
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,true,3,1.008475
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,true,1,5.295020
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,true,2,5.467480
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,true,3,5.785157
futures,window,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.723046
futures,window,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.856629
futures,window,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.672465
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.805504
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.783594
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.779526
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.168678
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.183259
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.165830
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,true,1,0.591027
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,true,2,0.563629
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,true,3,0.615311
futures,scan_filter,datafusion.execution.parquet.bloom_filter_on_write,false,1,0.009976
