dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.parquet.compression,@default,1,0.158581
futures,scan_filter,datafusion.execution.parquet.compression,@default,2,0.012935
futures,scan_filter,datafusion.execution.parquet.compression,@default,3,0.012847
tpch,scan_filter,datafusion.execution.parquet.compression,@default,1,0.352828
tpch,scan_filter,datafusion.execution.parquet.compression,@default,2,0.268568
tpch,scan_filter,datafusion.execution.parquet.compression,@default,3,0.261080
futures,group_by,datafusion.execution.parquet.compression,@default,1,0.022848
futures,group_by,datafusion.execution.parquet.compression,@default,2,0.036115
futures,group_by,datafusion.execution.parquet.compression,@default,3,0.030062
tpch,group_by,datafusion.execution.parquet.compression,@default,1,0.558096
tpch,group_by,datafusion.execution.parquet.compression,@default,2,0.521052
tpch,group_by,datafusion.execution.parquet.compression,@default,3,0.531310
tpch,hash_join,datafusion.execution.parquet.compression,@default,1,1.097226
tpch,hash_join,datafusion.execution.parquet.compression,@default,2,1.116645
tpch,hash_join,datafusion.execution.parquet.compression,@default,3,1.161216
tpch,sort_merge_join,datafusion.execution.parquet.compression,@default,1,5.096085
tpch,sort_merge_join,datafusion.execution.parquet.compression,@default,2,5.489528
tpch,sort_merge_join,datafusion.execution.parquet.compression,@default,3,5.397301
futures,window,datafusion.execution.parquet.compression,@default,1,0.832257
futures,window,datafusion.execution.parquet.compression,@default,2,0.705392
futures,window,datafusion.execution.parquet.compression,@default,3,0.686079
iceberg,append_files,datafusion.execution.parquet.compression,@default,1,0.777843
iceberg,append_files,datafusion.execution.parquet.compression,@default,2,0.783569
iceberg,append_files,datafusion.execution.parquet.compression,@default,3,0.796107
iceberg,overwrite_partition,datafusion.execution.parquet.compression,@default,1,0.174342
iceberg,overwrite_partition,datafusion.execution.parquet.compression,@default,2,0.166743
iceberg,overwrite_partition,datafusion.execution.parquet.compression,@default,3,0.166740
iceberg,merge_updates,datafusion.execution.parquet.compression,@default,1,0.619037
iceberg,merge_updates,datafusion.execution.parquet.compression,@default,2,0.589138
iceberg,merge_updates,datafusion.execution.parquet.compression,@default,3,0.599135
futures,scan_filter,datafusion.execution.parquet.compression,uncompressed,1,0.011377
futures,scan_filter,datafusion.execution.parquet.compression,uncompressed,2,0.012851
futures,scan_filter,datafusion.execution.parquet.compression,uncompressed,3,0.012588
tpch,scan_filter,datafusion.execution.parquet.compression,uncompressed,1,0.287974
tpch,scan_filter,datafusion.execution.parquet.compression,uncompressed,2,0.292901
tpch,scan_filter,datafusion.execution.parquet.compression,uncompressed,3,0.305872
futures,group_by,datafusion.execution.parquet.compression,uncompressed,1,0.028259
futures,group_by,datafusion.execution.parquet.compression,uncompressed,2,0.076116
futures,group_by,datafusion.execution.parquet.compression,uncompressed,3,0.058749
tpch,group_by,datafusion.execution.parquet.compression,uncompressed,1,0.578091
tpch,group_by,datafusion.execution.parquet.compression,uncompressed,2,0.534335
tpch,group_by,datafusion.execution.parquet.compression,uncompressed,3,0.544697
tpch,hash_join,datafusion.execution.parquet.compression,uncompressed,1,1.070020
tpch,hash_join,datafusion.execution.parquet.compression,uncompressed,2,1.079908
tpch,hash_join,datafusion.execution.parquet.compression,uncompressed,3,0.996425
tpch,sort_merge_join,datafusion.execution.parquet.compression,uncompressed,1,5.512234
tpch,sort_merge_join,datafusion.execution.parquet.compression,uncompressed,2,5.325470
tpch,sort_merge_join,datafusion.execution.parquet.compression,uncompressed,3,5.580826
futures,window,datafusion.execution.parquet.compression,uncompressed,1,1.078915
futures,window,datafusion.execution.parquet.compression,uncompressed,2,0.673318
futures,window,datafusion.execution.parquet.compression,uncompressed,3,0.672607
iceberg,append_files,datafusion.execution.parquet.compression,uncompressed,1,0.786912
iceberg,append_files,datafusion.execution.parquet.compression,uncompressed,2,0.792453
iceberg,append_files,datafusion.execution.parquet.compression,uncompressed,3,0.792138
iceberg,overwrite_partition,datafusion.execution.parquet.compression,uncompressed,1,0.174822
iceberg,overwrite_partition,datafusion.execution.parquet.compression,uncompressed,2,0.169271
iceberg,overwrite_partition,datafusion.execution.parquet.compression,uncompressed,3,0.168753
iceberg,merge_updates,datafusion.execution.parquet.compression,uncompressed,1,0.630117
iceberg,merge_updates,datafusion.execution.parquet.compression,uncompressed,2,0.617077
iceberg,merge_updates,datafusion.execution.parquet.compression,uncompressed,3,0.560003
futures,scan_filter,datafusion.execution.parquet.compression,snappy,1,0.010463
futures,scan_filter,datafusion.execution.parquet.compression,snappy,2,0.011233
futures,scan_filter,datafusion.execution.parquet.compression,snappy,3,0.011887
tpch,scan_filter,datafusion.execution.parquet.compression,snappy,1,0.274113
tpch,scan_filter,datafusion.execution.parquet.compression,snappy,2,0.295528
tpch,scan_filter,datafusion.execution.parquet.compression,snappy,3,0.309621
futures,group_by,datafusion.execution.parquet.compression,snappy,1,0.026130
futures,group_by,datafusion.execution.parquet.compression,snappy,2,0.048684
futures,group_by,datafusion.execution.parquet.compression,snappy,3,0.024145
tpch,group_by,datafusion.execution.parquet.compression,snappy,1,0.562552
tpch,group_by,datafusion.execution.parquet.compression,snappy,2,0.517911
tpch,group_by,datafusion.execution.parquet.compression,snappy,3,0.526493
tpch,hash_join,datafusion.execution.parquet.compression,snappy,1,1.111485
tpch,hash_join,datafusion.execution.parquet.compression,snappy,2,1.138830
tpch,hash_join,datafusion.execution.parquet.compression,snappy,3,1.228674
tpch,sort_merge_join,datafusion.execution.parquet.compression,snappy,1,5.684610
tpch,sort_merge_join,datafusion.execution.parquet.compression,snappy,2,5.568996
tpch,sort_merge_join,datafusion.execution.parquet.compression,snappy,3,5.822093
futures,window,datafusion.execution.parquet.compression,snappy,1,0.914698
futures,window,datafusion.execution.parquet.compression,snappy,2,0.759955
futures,window,datafusion.execution.parquet.compression,snappy,3,0.658936
iceberg,append_files,datafusion.execution.parquet.compression,snappy,1,0.810981
iceberg,append_files,datafusion.execution.parquet.compression,snappy,2,0.899180
iceberg,append_files,datafusion.execution.parquet.compression,snappy,3,0.851733
iceberg,overwrite_partition,datafusion.execution.parquet.compression,snappy,1,0.170690
iceberg,overwrite_partition,datafusion.execution.parquet.compression,snappy,2,0.168264
iceberg,overwrite_partition,datafusion.execution.parquet.compression,snappy,3,0.238403
iceberg,merge_updates,datafusion.execution.parquet.compression,snappy,1,0.601264
iceberg,merge_updates,datafusion.execution.parquet.compression,snappy,2,0.609339
iceberg,merge_updates,datafusion.execution.parquet.compression,snappy,3,0.577700
futures,scan_filter,datafusion.execution.parquet.compression,gzip(6),1,0.010759
futures,scan_filter,datafusion.execution.parquet.compression,gzip(6),2,0.014721
futures,scan_filter,datafusion.execution.parquet.compression,gzip(6),3,0.014029
tpch,scan_filter,datafusion.execution.parquet.compression,gzip(6),1,0.282228
tpch,scan_filter,datafusion.execution.parquet.compression,gzip(6),2,0.318169
tpch,scan_filter,datafusion.execution.parquet.compression,gzip(6),3,0.284128
futures,group_by,datafusion.execution.parquet.compression,gzip(6),1,0.030732
futures,group_by,datafusion.execution.parquet.compression,gzip(6),2,0.092209
futures,group_by,datafusion.execution.parquet.compression,gzip(6),3,0.084992
tpch,group_by,datafusion.execution.parquet.compression,gzip(6),1,0.533841
tpch,group_by,datafusion.execution.parquet.compression,gzip(6),2,0.518641
tpch,group_by,datafusion.execution.parquet.compression,gzip(6),3,0.524131
tpch,hash_join,datafusion.execution.parquet.compression,gzip(6),1,1.233002
tpch,hash_join,datafusion.execution.parquet.compression,gzip(6),2,1.120429
tpch,hash_join,datafusion.execution.parquet.compression,gzip(6),3,1.137581
tpch,sort_merge_join,datafusion.execution.parquet.compression,gzip(6),1,5.690138
tpch,sort_merge_join,datafusion.execution.parquet.compression,gzip(6),2,5.666102
tpch,sort_merge_join,datafusion.execution.parquet.compression,gzip(6),3,5.684088
futures,window,datafusion.execution.parquet.compression,gzip(6),1,1.136016
futures,window,datafusion.execution.parquet.compression,gzip(6),2,0.638575
futures,window,datafusion.execution.parquet.compression,gzip(6),3,0.671465
iceberg,append_files,datafusion.execution.parquet.compression,gzip(6),1,0.788036
iceberg,append_files,datafusion.execution.parquet.compression,gzip(6),2,0.789334
iceberg,append_files,datafusion.execution.parquet.compression,gzip(6),3,0.826664
iceberg,overwrite_partition,datafusion.execution.parquet.compression,gzip(6),1,0.175918
iceberg,overwrite_partition,datafusion.execution.parquet.compression,gzip(6),2,0.187898
iceberg,overwrite_partition,datafusion.execution.parquet.compression,gzip(6),3,0.168847
iceberg,merge_updates,datafusion.execution.parquet.compression,gzip(6),1,0.584777
iceberg,merge_updates,datafusion.execution.parquet.compression,gzip(6),2,0.611721
iceberg,merge_updates,datafusion.execution.parquet.compression,gzip(6),3,0.601674
futures,scan_filter,datafusion.execution.parquet.compression,brotli(1),1,0.009746
futures,scan_filter,datafusion.execution.parquet.compression,brotli(1),2,0.013267
futures,scan_filter,datafusion.execution.parquet.compression,brotli(1),3,0.012502
tpch,scan_filter,datafusion.execution.parquet.compression,brotli(1),1,0.322866
tpch,scan_filter,datafusion.execution.parquet.compression,brotli(1),2,0.290529
tpch,scan_filter,datafusion.execution.parquet.compression,brotli(1),3,0.320275
futures,group_by,datafusion.execution.parquet.compression,brotli(1),1,0.026707
futures,group_by,datafusion.execution.parquet.compression,brotli(1),2,0.056054
futures,group_by,datafusion.execution.parquet.compression,brotli(1),3,0.058820
tpch,group_by,datafusion.execution.parquet.compression,brotli(1),1,0.529859
tpch,group_by,datafusion.execution.parquet.compression,brotli(1),2,0.530084
tpch,group_by,datafusion.execution.parquet.compression,brotli(1),3,0.547510
tpch,hash_join,datafusion.execution.parquet.compression,brotli(1),1,1.083453
tpch,hash_join,datafusion.execution.parquet.compression,brotli(1),2,1.143790
tpch,hash_join,datafusion.execution.parquet.compression,brotli(1),3,1.103380
tpch,sort_merge_join,datafusion.execution.parquet.compression,brotli(1),1,5.841204
tpch,sort_merge_join,datafusion.execution.parquet.compression,brotli(1),2,5.633338
tpch,sort_merge_join,datafusion.execution.parquet.compression,brotli(1),3,5.728025
futures,window,datafusion.execution.parquet.compression,brotli(1),1,0.988921
futures,window,datafusion.execution.parquet.compression,brotli(1),2,0.662697
futures,window,datafusion.execution.parquet.compression,brotli(1),3,0.645763
iceberg,append_files,datafusion.execution.parquet.compression,brotli(1),1,0.809436
iceberg,append_files,datafusion.execution.parquet.compression,brotli(1),2,0.783067
iceberg,append_files,datafusion.execution.parquet.compression,brotli(1),3,0.790936
iceberg,overwrite_partition,datafusion.execution.parquet.compression,brotli(1),1,0.169113
iceberg,overwrite_partition,datafusion.execution.parquet.compression,brotli(1),2,0.167063
iceberg,overwrite_partition,datafusion.execution.parquet.compression,brotli(1),3,0.167613
iceberg,merge_updates,datafusion.execution.parquet.compression,brotli(1),1,0.594653
iceberg,merge_updates,datafusion.execution.parquet.compression,brotli(1),2,0.605339
iceberg,merge_updates,datafusion.execution.parquet.compression,brotli(1),3,0.599417
futures,scan_filter,datafusion.execution.parquet.compression,lz4,1,0.013881
futures,scan_filter,datafusion.execution.parquet.compression,lz4,2,0.010810
futures,scan_filter,datafusion.execution.parquet.compression,lz4,3,0.011367
tpch,scan_filter,datafusion.execution.parquet.compression,lz4,1,0.279205
tpch,scan_filter,datafusion.execution.parquet.compression,lz4,2,0.270365
tpch,scan_filter,datafusion.execution.parquet.compression,lz4,3,0.325013
futures,group_by,datafusion.execution.parquet.compression,lz4,1,0.032136
futures,group_by,datafusion.execution.parquet.compression,lz4,2,0.071634
futures,group_by,datafusion.execution.parquet.compression,lz4,3,0.030346
tpch,group_by,datafusion.execution.parquet.compression,lz4,1,0.539530
tpch,group_by,datafusion.execution.parquet.compression,lz4,2,0.531286
tpch,group_by,datafusion.execution.parquet.compression,lz4,3,0.535716
tpch,hash_join,datafusion.execution.parquet.compression,lz4,1,1.084502
tpch,hash_join,datafusion.execution.parquet.compression,lz4,2,1.045524
tpch,hash_join,datafusion.execution.parquet.compression,lz4,3,1.141498
tpch,sort_merge_join,datafusion.execution.parquet.compression,lz4,1,5.893254
tpch,sort_merge_join,datafusion.execution.parquet.compression,lz4,2,5.760791
tpch,sort_merge_join,datafusion.execution.parquet.compression,lz4,3,5.681405
futures,window,datafusion.execution.parquet.compression,lz4,1,1.046820
futures,window,datafusion.execution.parquet.compression,lz4,2,0.644910
futures,window,datafusion.execution.parquet.compression,lz4,3,0.675021
iceberg,append_files,datafusion.execution.parquet.compression,lz4,1,0.797763
iceberg,append_files,datafusion.execution.parquet.compression,lz4,2,0.819624
iceberg,append_files,datafusion.execution.parquet.compression,lz4,3,0.817785
iceberg,overwrite_partition,datafusion.execution.parquet.compression,lz4,1,0.169213
iceberg,overwrite_partition,datafusion.execution.parquet.compression,lz4,2,0.172417
iceberg,overwrite_partition,datafusion.execution.parquet.compression,lz4,3,0.169554
iceberg,merge_updates,datafusion.execution.parquet.compression,lz4,1,0.611346
iceberg,merge_updates,datafusion.execution.parquet.compression,lz4,2,0.628725
iceberg,merge_updates,datafusion.execution.parquet.compression,lz4,3,0.598371
futures,scan_filter,datafusion.execution.parquet.compression,zstd(3),1,0.010704
futures,scan_filter,datafusion.execution.parquet.compression,zstd(3),2,0.011197
futures,scan_filter,datafusion.execution.parquet.compression,zstd(3),3,0.015525
tpch,scan_filter,datafusion.execution.parquet.compression,zstd(3),1,0.290135
tpch,scan_filter,datafusion.execution.parquet.compression,zstd(3),2,0.286618
tpch,scan_filter,datafusion.execution.parquet.compression,zstd(3),3,0.314972
futures,group_by,datafusion.execution.parquet.compression,zstd(3),1,0.059172
futures,group_by,datafusion.execution.parquet.compression,zstd(3),2,0.067800
futures,group_by,datafusion.execution.parquet.compression,zstd(3),3,0.032480
tpch,group_by,datafusion.execution.parquet.compression,zstd(3),1,0.526245
tpch,group_by,datafusion.execution.parquet.compression,zstd(3),2,0.525904
tpch,group_by,datafusion.execution.parquet.compression,zstd(3),3,0.521128
tpch,hash_join,datafusion.execution.parquet.compression,zstd(3),1,1.110884
tpch,hash_join,datafusion.execution.parquet.compression,zstd(3),2,1.061326
tpch,hash_join,datafusion.execution.parquet.compression,zstd(3),3,1.082370
tpch,sort_merge_join,datafusion.execution.parquet.compression,zstd(3),1,5.848237
tpch,sort_merge_join,datafusion.execution.parquet.compression,zstd(3),2,5.751039
tpch,sort_merge_join,datafusion.execution.parquet.compression,zstd(3),3,5.739720
futures,window,datafusion.execution.parquet.compression,zstd(3),1,0.701225
futures,window,datafusion.execution.parquet.compression,zstd(3),2,0.893883
futures,window,datafusion.execution.parquet.compression,zstd(3),3,0.682537
iceberg,append_files,datafusion.execution.parquet.compression,zstd(3),1,0.813443
iceberg,append_files,datafusion.execution.parquet.compression,zstd(3),2,0.793242
iceberg,append_files,datafusion.execution.parquet.compression,zstd(3),3,0.791038
iceberg,overwrite_partition,datafusion.execution.parquet.compression,zstd(3),1,0.208730
iceberg,overwrite_partition,datafusion.execution.parquet.compression,zstd(3),2,0.168925
iceberg,overwrite_partition,datafusion.execution.parquet.compression,zstd(3),3,0.170361
iceberg,merge_updates,datafusion.execution.parquet.compression,zstd(3),1,0.603847
iceberg,merge_updates,datafusion.execution.parquet.compression,zstd(3),2,0.603873
iceberg,merge_updates,datafusion.execution.parquet.compression,zstd(3),3,0.627583
futures,scan_filter,datafusion.execution.parquet.compression,lz4_raw,1,0.010284
futures,scan_filter,datafusion.execution.parquet.compression,lz4_raw,2,0.012331
futures,scan_filter,datafusion.execution.parquet.compression,lz4_raw,3,0.011852
tpch,scan_filter,datafusion.execution.parquet.compression,lz4_raw,1,0.295510
tpch,scan_filter,datafusion.execution.parquet.compression,lz4_raw,2,0.285814
tpch,scan_filter,datafusion.execution.parquet.compression,lz4_raw,3,0.322461
futures,group_by,datafusion.execution.parquet.compression,lz4_raw,1,0.051756
