dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.parquet.enable_page_index,@default,1,0.165663
futures,scan_filter,datafusion.execution.parquet.enable_page_index,@default,2,0.010206
futures,scan_filter,datafusion.execution.parquet.enable_page_index,@default,3,0.011512
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,@default,1,0.348437
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,@default,2,0.268927
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,@default,3,0.251364
futures,group_by,datafusion.execution.parquet.enable_page_index,@default,1,0.025042
futures,group_by,datafusion.execution.parquet.enable_page_index,@default,2,0.034486
futures,group_by,datafusion.execution.parquet.enable_page_index,@default,3,0.027108
tpch,group_by,datafusion.execution.parquet.enable_page_index,@default,1,0.567201
tpch,group_by,datafusion.execution.parquet.enable_page_index,@default,2,0.531240
tpch,group_by,datafusion.execution.parquet.enable_page_index,@default,3,0.520527
tpch,hash_join,datafusion.execution.parquet.enable_page_index,@default,1,1.096786
tpch,hash_join,datafusion.execution.parquet.enable_page_index,@default,2,1.086350
tpch,hash_join,datafusion.execution.parquet.enable_page_index,@default,3,1.225045
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,@default,1,5.054794
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,@default,2,5.438792
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,@default,3,5.263492
futures,window,datafusion.execution.parquet.enable_page_index,@default,1,0.998948
futures,window,datafusion.execution.parquet.enable_page_index,@default,2,0.648303
futures,window,datafusion.execution.parquet.enable_page_index,@default,3,0.678517
iceberg,append_files,datafusion.execution.parquet.enable_page_index,@default,1,0.840788
iceberg,append_files,datafusion.execution.parquet.enable_page_index,@default,2,0.792167
iceberg,append_files,datafusion.execution.parquet.enable_page_index,@default,3,0.787072
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,@default,1,0.169481
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,@default,2,0.194633
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,@default,3,0.168178
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,@default,1,0.633119
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,@default,2,0.586696
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,@default,3,0.591992
futures,scan_filter,datafusion.execution.parquet.enable_page_index,true,1,0.010663
futures,scan_filter,datafusion.execution.parquet.enable_page_index,true,2,0.011877
futures,scan_filter,datafusion.execution.parquet.enable_page_index,true,3,0.010515
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,true,1,0.336429
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,true,2,0.277182
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,true,3,0.269391
futures,group_by,datafusion.execution.parquet.enable_page_index,true,1,0.022820
futures,group_by,datafusion.execution.parquet.enable_page_index,true,2,0.135259
futures,group_by,datafusion.execution.parquet.enable_page_index,true,3,0.100723
tpch,group_by,datafusion.execution.parquet.enable_page_index,true,1,0.523704
tpch,group_by,datafusion.execution.parquet.enable_page_index,true,2,0.536184
tpch,group_by,datafusion.execution.parquet.enable_page_index,true,3,0.524260
tpch,hash_join,datafusion.execution.parquet.enable_page_index,true,1,1.143230
tpch,hash_join,datafusion.execution.parquet.enable_page_index,true,2,1.108479
tpch,hash_join,datafusion.execution.parquet.enable_page_index,true,3,1.100141
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,true,1,5.384202
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,true,2,5.120127
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,true,3,5.597495
futures,window,datafusion.execution.parquet.enable_page_index,true,1,1.078985
futures,window,datafusion.execution.parquet.enable_page_index,true,2,0.627034
futures,window,datafusion.execution.parquet.enable_page_index,true,3,0.678149
iceberg,append_files,datafusion.execution.parquet.enable_page_index,true,1,0.800474
iceberg,append_files,datafusion.execution.parquet.enable_page_index,true,2,0.804384
iceberg,append_files,datafusion.execution.parquet.enable_page_index,true,3,0.795647
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,true,1,0.167269
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,true,2,0.168198
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,true,3,0.167291
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,true,1,0.576526
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,true,2,0.594251
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,true,3,0.609787
futures,scan_filter,datafusion.execution.parquet.enable_page_index,false,1,0.011004
futures,scan_filter,datafusion.execution.parquet.enable_page_index,false,2,0.014916
futures,scan_filter,datafusion.execution.parquet.enable_page_index,false,3,0.011835
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,false,1,0.285648
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,false,2,0.247160
tpch,scan_filter,datafusion.execution.parquet.enable_page_index,false,3,0.262560
