dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.parquet.max_row_group_size,@default,1,0.168721
futures,scan_filter,datafusion.execution.parquet.max_row_group_size,@default,2,0.010942
futures,scan_filter,datafusion.execution.parquet.max_row_group_size,@default,3,0.012136
tpch,scan_filter,datafusion.execution.parquet.max_row_group_size,@default,1,0.354447
tpch,scan_filter,datafusion.execution.parquet.max_row_group_size,@default,2,0.270511
tpch,scan_filter,datafusion.execution.parquet.max_row_group_size,@default,3,0.259983
futures,group_by,datafusion.execution.parquet.max_row_group_size,@default,1,0.020840
futures,group_by,datafusion.execution.parquet.max_row_group_size,@default,2,0.034865
futures,group_by,datafusion.execution.parquet.max_row_group_size,@default,3,0.029716
tpch,group_by,datafusion.execution.parquet.max_row_group_size,@default,1,0.586376
tpch,group_by,datafusion.execution.parquet.max_row_group_size,@default,2,0.540120
tpch,group_by,datafusion.execution.parquet.max_row_group_size,@default,3,0.526249
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,@default,1,1.093275
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,@default,2,1.104117
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,@default,3,1.186942
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,@default,1,4.982965
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,@default,2,5.207254
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,@default,3,5.344293
futures,window,datafusion.execution.parquet.max_row_group_size,@default,1,0.931380
futures,window,datafusion.execution.parquet.max_row_group_size,@default,2,0.641513
futures,window,datafusion.execution.parquet.max_row_group_size,@default,3,0.668098
iceberg,append_files,datafusion.execution.parquet.max_row_group_size,@default,1,0.784434
iceberg,append_files,datafusion.execution.parquet.max_row_group_size,@default,2,0.780329
iceberg,append_files,datafusion.execution.parquet.max_row_group_size,@default,3,0.790082
iceberg,overwrite_partition,datafusion.execution.parquet.max_row_group_size,@default,1,0.169541
iceberg,overwrite_partition,datafusion.execution.parquet.max_row_group_size,@default,2,0.166295
iceberg,overwrite_partition,datafusion.execution.parquet.max_row_group_size,@default,3,0.168596
iceberg,merge_updates,datafusion.execution.parquet.max_row_group_size,@default,1,0.628879
iceberg,merge_updates,datafusion.execution.parquet.max_row_group_size,@default,2,0.605812
iceberg,merge_updates,datafusion.execution.parquet.max_row_group_size,@default,3,0.617101
futures,scan_filter,datafusion.execution.parquet.max_row_group_size,524288,1,0.010674
futures,scan_filter,datafusion.execution.parquet.max_row_group_size,524288,2,0.011107
futures,scan_filter,datafusion.execution.parquet.max_row_group_size,524288,3,0.011250
tpch,scan_filter,datafusion.execution.parquet.max_row_group_size,524288,1,0.294502
tpch,scan_filter,datafusion.execution.parquet.max_row_group_size,524288,2,0.278233
tpch,scan_filter,datafusion.execution.parquet.max_row_group_size,524288,3,0.280502
futures,group_by,datafusion.execution.parquet.max_row_group_size,524288,1,0.067545
futures,group_by,datafusion.execution.parquet.max_row_group_size,524288,2,0.099153
futures,group_by,datafusion.execution.parquet.max_row_group_size,524288,3,0.036388
tpch,group_by,datafusion.execution.parquet.max_row_group_size,524288,1,0.537544
tpch,group_by,datafusion.execution.parquet.max_row_group_size,524288,2,0.564082
tpch,group_by,datafusion.execution.parquet.max_row_group_size,524288,3,0.597965
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,524288,1,1.054697
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,524288,2,1.046962
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,524288,3,1.049922
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,524288,1,5.448632
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,524288,2,5.179340
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,524288,3,5.436703
futures,window,datafusion.execution.parquet.max_row_group_size,524288,1,1.048193
futures,window,datafusion.execution.parquet.max_row_group_size,524288,2,0.648661
futures,window,datafusion.execution.parquet.max_row_group_size,524288,3,0.660723
iceberg,append_files,datafusion.execution.parquet.max_row_group_size,524288,1,0.783492
