dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,@default,1,0.163189
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,@default,2,0.010191
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,@default,3,0.012041
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,@default,1,0.370147
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,@default,2,0.265825
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,@default,3,0.267922
futures,group_by,datafusion.execution.parquet.pushdown_filters,@default,1,0.026848
futures,group_by,datafusion.execution.parquet.pushdown_filters,@default,2,0.022586
futures,group_by,datafusion.execution.parquet.pushdown_filters,@default,3,0.030772
tpch,group_by,datafusion.execution.parquet.pushdown_filters,@default,1,0.549749
tpch,group_by,datafusion.execution.parquet.pushdown_filters,@default,2,0.516109
tpch,group_by,datafusion.execution.parquet.pushdown_filters,@default,3,0.509031
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,@default,1,1.055936
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,@default,2,1.107381
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,@default,3,1.194908
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,@default,1,5.013454
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,@default,2,5.026123
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,@default,3,5.316746
futures,window,datafusion.execution.parquet.pushdown_filters,@default,1,0.725643
futures,window,datafusion.execution.parquet.pushdown_filters,@default,2,0.796025
futures,window,datafusion.execution.parquet.pushdown_filters,@default,3,0.669983
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,@default,1,0.768083
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,@default,2,0.779211
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,@default,3,0.787486
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,@default,1,0.167591
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,@default,2,0.215832
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,@default,3,0.168805
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,@default,1,0.636597
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,@default,2,0.627179
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,@default,3,0.576753
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,true,1,0.011756
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,true,2,0.011935
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,true,3,0.014826
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,true,1,0.309484
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,true,2,0.308971
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,true,3,0.340817
futures,group_by,datafusion.execution.parquet.pushdown_filters,true,1,0.075025
futures,group_by,datafusion.execution.parquet.pushdown_filters,true,2,0.028122
futures,group_by,datafusion.execution.parquet.pushdown_filters,true,3,0.034008
tpch,group_by,datafusion.execution.parquet.pushdown_filters,true,1,0.535951
tpch,group_by,datafusion.execution.parquet.pushdown_filters,true,2,0.519595
tpch,group_by,datafusion.execution.parquet.pushdown_filters,true,3,0.525250
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,true,1,1.937089
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,true,2,1.883289
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,true,3,1.954988
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,true,1,6.398946
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,true,2,6.225910
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,true,3,6.406352
futures,window,datafusion.execution.parquet.pushdown_filters,true,1,0.884331
futures,window,datafusion.execution.parquet.pushdown_filters,true,2,0.714158
futures,window,datafusion.execution.parquet.pushdown_filters,true,3,0.662873
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,true,1,0.787150
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,true,2,0.787180
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,true,3,0.786033
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,true,1,0.168371
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,true,2,0.166614
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,true,3,0.188822
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,true,1,0.604962
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,true,2,0.607728
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,true,3,0.609967
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,false,1,0.010582
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,false,2,0.011833
futures,scan_filter,datafusion.execution.parquet.pushdown_filters,false,3,0.017780
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,false,1,0.302994
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,false,2,0.271151
tpch,scan_filter,datafusion.execution.parquet.pushdown_filters,false,3,0.280989
futures,group_by,datafusion.execution.parquet.pushdown_filters,false,1,0.071052
futures,group_by,datafusion.execution.parquet.pushdown_filters,false,2,0.153711
futures,group_by,datafusion.execution.parquet.pushdown_filters,false,3,0.042725
tpch,group_by,datafusion.execution.parquet.pushdown_filters,false,1,0.520631
tpch,group_by,datafusion.execution.parquet.pushdown_filters,false,2,0.543224
tpch,group_by,datafusion.execution.parquet.pushdown_filters,false,3,0.536404
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,false,1,1.172397
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,false,2,1.051954
tpch,hash_join,datafusion.execution.parquet.pushdown_filters,false,3,1.012409
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,false,1,5.465896
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,false,2,5.605131
tpch,sort_merge_join,datafusion.execution.parquet.pushdown_filters,false,3,5.558078
futures,window,datafusion.execution.parquet.pushdown_filters,false,1,0.814487
futures,window,datafusion.execution.parquet.pushdown_filters,false,2,0.758720
futures,window,datafusion.execution.parquet.pushdown_filters,false,3,0.683268
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,false,1,0.803194
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,false,2,0.787225
iceberg,append_files,datafusion.execution.parquet.pushdown_filters,false,3,0.801787
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,false,1,0.170336
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,false,2,0.167297
iceberg,overwrite_partition,datafusion.execution.parquet.pushdown_filters,false,3,0.179780
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,false,1,0.603632
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,false,2,0.593425
iceberg,merge_updates,datafusion.execution.parquet.pushdown_filters,false,3,0.618558
