dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.parquet.write_batch_size,@default,1,0.161599
futures,scan_filter,datafusion.execution.parquet.write_batch_size,@default,2,0.013602
futures,scan_filter,datafusion.execution.parquet.write_batch_size,@default,3,0.011515
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,@default,1,0.348174
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,@default,2,0.266771
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,@default,3,0.262481
futures,group_by,datafusion.execution.parquet.write_batch_size,@default,1,0.025918
futures,group_by,datafusion.execution.parquet.write_batch_size,@default,2,0.029563
futures,group_by,datafusion.execution.parquet.write_batch_size,@default,3,0.025115
tpch,group_by,datafusion.execution.parquet.write_batch_size,@default,1,0.557234
tpch,group_by,datafusion.execution.parquet.write_batch_size,@default,2,0.527858
tpch,group_by,datafusion.execution.parquet.write_batch_size,@default,3,0.519292
tpch,hash_join,datafusion.execution.parquet.write_batch_size,@default,1,1.074033
tpch,hash_join,datafusion.execution.parquet.write_batch_size,@default,2,1.077568
tpch,hash_join,datafusion.execution.parquet.write_batch_size,@default,3,1.221669
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,@default,1,4.997134
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,@default,2,5.348765
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,@default,3,5.275565
futures,window,datafusion.execution.parquet.write_batch_size,@default,1,0.826184
futures,window,datafusion.execution.parquet.write_batch_size,@default,2,0.756049
futures,window,datafusion.execution.parquet.write_batch_size,@default,3,0.640752
iceberg,append_files,datafusion.execution.parquet.write_batch_size,@default,1,0.778436
iceberg,append_files,datafusion.execution.parquet.write_batch_size,@default,2,0.808863
iceberg,append_files,datafusion.execution.parquet.write_batch_size,@default,3,0.795781
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,@default,1,0.168651
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,@default,2,0.168554
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,@default,3,0.172783
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,@default,1,0.561864
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,@default,2,0.588587
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,@default,3,0.602062
futures,scan_filter,datafusion.execution.parquet.write_batch_size,512,1,0.010047
futures,scan_filter,datafusion.execution.parquet.write_batch_size,512,2,0.010079
futures,scan_filter,datafusion.execution.parquet.write_batch_size,512,3,0.014064
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,512,1,0.295933
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,512,2,0.276702
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,512,3,0.288318
futures,group_by,datafusion.execution.parquet.write_batch_size,512,1,0.116480
futures,group_by,datafusion.execution.parquet.write_batch_size,512,2,0.037189
futures,group_by,datafusion.execution.parquet.write_batch_size,512,3,0.037460
tpch,group_by,datafusion.execution.parquet.write_batch_size,512,1,0.543761
tpch,group_by,datafusion.execution.parquet.write_batch_size,512,2,0.525123
tpch,group_by,datafusion.execution.parquet.write_batch_size,512,3,0.528492
tpch,hash_join,datafusion.execution.parquet.write_batch_size,512,1,1.184705
tpch,hash_join,datafusion.execution.parquet.write_batch_size,512,2,1.049180
tpch,hash_join,datafusion.execution.parquet.write_batch_size,512,3,1.048737
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,512,1,5.262080
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,512,2,5.442250
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,512,3,5.369837
futures,window,datafusion.execution.parquet.write_batch_size,512,1,0.999413
futures,window,datafusion.execution.parquet.write_batch_size,512,2,0.667685
futures,window,datafusion.execution.parquet.write_batch_size,512,3,0.678961
iceberg,append_files,datafusion.execution.parquet.write_batch_size,512,1,0.818623
iceberg,append_files,datafusion.execution.parquet.write_batch_size,512,2,0.810183
iceberg,append_files,datafusion.execution.parquet.write_batch_size,512,3,0.797218
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,512,1,0.168079
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,512,2,0.217611
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,512,3,0.169697
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,512,1,0.603936
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,512,2,0.596509
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,512,3,0.600071
futures,scan_filter,datafusion.execution.parquet.write_batch_size,2048,1,0.010959
futures,scan_filter,datafusion.execution.parquet.write_batch_size,2048,2,0.015634
futures,scan_filter,datafusion.execution.parquet.write_batch_size,2048,3,0.012270
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,2048,1,0.293544
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,2048,2,0.304079
tpch,scan_filter,datafusion.execution.parquet.write_batch_size,2048,3,0.337769
futures,group_by,datafusion.execution.parquet.write_batch_size,2048,1,0.061643
futures,group_by,datafusion.execution.parquet.write_batch_size,2048,2,0.037570
futures,group_by,datafusion.execution.parquet.write_batch_size,2048,3,0.057552
tpch,group_by,datafusion.execution.parquet.write_batch_size,2048,1,0.531084
tpch,group_by,datafusion.execution.parquet.write_batch_size,2048,2,0.544510
tpch,group_by,datafusion.execution.parquet.write_batch_size,2048,3,0.540894
tpch,hash_join,datafusion.execution.parquet.write_batch_size,2048,1,1.134658
tpch,hash_join,datafusion.execution.parquet.write_batch_size,2048,2,1.062103
tpch,hash_join,datafusion.execution.parquet.write_batch_size,2048,3,1.047854
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,2048,1,5.923024
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,2048,2,5.596298
tpch,sort_merge_join,datafusion.execution.parquet.write_batch_size,2048,3,5.773349
futures,window,datafusion.execution.parquet.write_batch_size,2048,1,1.075934
futures,window,datafusion.execution.parquet.write_batch_size,2048,2,0.655754
futures,window,datafusion.execution.parquet.write_batch_size,2048,3,0.635960
iceberg,append_files,datafusion.execution.parquet.write_batch_size,2048,1,0.783453
iceberg,append_files,datafusion.execution.parquet.write_batch_size,2048,2,0.800460
iceberg,append_files,datafusion.execution.parquet.write_batch_size,2048,3,0.794129
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,2048,1,0.166148
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,2048,2,0.168228
iceberg,overwrite_partition,datafusion.execution.parquet.write_batch_size,2048,3,0.175158
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,2048,1,0.612512
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,2048,2,0.614394
iceberg,merge_updates,datafusion.execution.parquet.write_batch_size,2048,3,0.615447
