dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.target_partitions,@default,1,0.156101
futures,scan_filter,datafusion.execution.target_partitions,@default,2,0.010627
futures,scan_filter,datafusion.execution.target_partitions,@default,3,0.012528
tpch,scan_filter,datafusion.execution.target_partitions,@default,1,0.354052
tpch,scan_filter,datafusion.execution.target_partitions,@default,2,0.277845
tpch,scan_filter,datafusion.execution.target_partitions,@default,3,0.261359
futures,group_by,datafusion.execution.target_partitions,@default,1,0.028347
futures,group_by,datafusion.execution.target_partitions,@default,2,0.028094
futures,group_by,datafusion.execution.target_partitions,@default,3,0.028768
tpch,group_by,datafusion.execution.target_partitions,@default,1,0.560893
tpch,group_by,datafusion.execution.target_partitions,@default,2,0.534521
tpch,group_by,datafusion.execution.target_partitions,@default,3,0.532827
tpch,hash_join,datafusion.execution.target_partitions,@default,1,1.125288
tpch,hash_join,datafusion.execution.target_partitions,@default,2,1.074863
tpch,hash_join,datafusion.execution.target_partitions,@default,3,1.158886
tpch,sort_merge_join,datafusion.execution.target_partitions,@default,1,5.109917
tpch,sort_merge_join,datafusion.execution.target_partitions,@default,2,5.232877
tpch,sort_merge_join,datafusion.execution.target_partitions,@default,3,5.397142
futures,window,datafusion.execution.target_partitions,@default,1,0.941350
futures,window,datafusion.execution.target_partitions,@default,2,0.667947
futures,window,datafusion.execution.target_partitions,@default,3,0.667175
iceberg,append_files,datafusion.execution.target_partitions,@default,1,0.790364
iceberg,append_files,datafusion.execution.target_partitions,@default,2,0.774736
iceberg,append_files,datafusion.execution.target_partitions,@default,3,0.777514
iceberg,overwrite_partition,datafusion.execution.target_partitions,@default,1,0.166390
iceberg,overwrite_partition,datafusion.execution.target_partitions,@default,2,0.167388
iceberg,overwrite_partition,datafusion.execution.target_partitions,@default,3,0.193544
iceberg,merge_updates,datafusion.execution.target_partitions,@default,1,0.622947
iceberg,merge_updates,datafusion.execution.target_partitions,@default,2,0.624053
iceberg,merge_updates,datafusion.execution.target_partitions,@default,3,0.618768
futures,scan_filter,datafusion.execution.target_partitions,32,1,0.008302
futures,scan_filter,datafusion.execution.target_partitions,32,2,0.006505
futures,scan_filter,datafusion.execution.target_partitions,32,3,0.006943
tpch,scan_filter,datafusion.execution.target_partitions,32,1,0.227208
tpch,scan_filter,datafusion.execution.target_partitions,32,2,0.234869
tpch,scan_filter,datafusion.execution.target_partitions,32,3,0.211940
futures,group_by,datafusion.execution.target_partitions,32,1,0.031810
futures,group_by,datafusion.execution.target_partitions,32,2,0.046414
futures,group_by,datafusion.execution.target_partitions,32,3,0.026510
tpch,group_by,datafusion.execution.target_partitions,32,1,0.416900
tpch,group_by,datafusion.execution.target_partitions,32,2,0.392312
tpch,group_by,datafusion.execution.target_partitions,32,3,0.425855
tpch,hash_join,datafusion.execution.target_partitions,32,1,0.983871
tpch,hash_join,datafusion.execution.target_partitions,32,2,1.129823
tpch,hash_join,datafusion.execution.target_partitions,32,3,1.111325
tpch,sort_merge_join,datafusion.execution.target_partitions,32,1,4.800116
tpch,sort_merge_join,datafusion.execution.target_partitions,32,2,4.653399
tpch,sort_merge_join,datafusion.execution.target_partitions,32,3,4.891823
futures,window,datafusion.execution.target_partitions,32,1,0.943589
futures,window,datafusion.execution.target_partitions,32,2,0.638439
futures,window,datafusion.execution.target_partitions,32,3,0.666777
iceberg,append_files,datafusion.execution.target_partitions,32,1,0.781262
iceberg,append_files,datafusion.execution.target_partitions,32,2,0.763553
iceberg,append_files,datafusion.execution.target_partitions,32,3,0.766212
iceberg,overwrite_partition,datafusion.execution.target_partitions,32,1,0.163891
iceberg,overwrite_partition,datafusion.execution.target_partitions,32,2,0.168098
iceberg,overwrite_partition,datafusion.execution.target_partitions,32,3,0.168239
iceberg,merge_updates,datafusion.execution.target_partitions,32,1,0.608984
iceberg,merge_updates,datafusion.execution.target_partitions,32,2,0.604972
iceberg,merge_updates,datafusion.execution.target_partitions,32,3,0.605856
futures,scan_filter,datafusion.execution.target_partitions,128,1,0.019514
futures,scan_filter,datafusion.execution.target_partitions,128,2,0.023430
futures,scan_filter,datafusion.execution.target_partitions,128,3,0.020493
tpch,scan_filter,datafusion.execution.target_partitions,128,1,0.325216
tpch,scan_filter,datafusion.execution.target_partitions,128,2,0.318767
tpch,scan_filter,datafusion.execution.target_partitions,128,3,0.363931
futures,group_by,datafusion.execution.target_partitions,128,1,0.079187
futures,group_by,datafusion.execution.target_partitions,128,2,0.047475
futures,group_by,datafusion.execution.target_partitions,128,3,0.053726
tpch,group_by,datafusion.execution.target_partitions,128,1,0.616847
tpch,group_by,datafusion.execution.target_partitions,128,2,0.571271
tpch,group_by,datafusion.execution.target_partitions,128,3,0.558025
tpch,hash_join,datafusion.execution.target_partitions,128,1,1.013579
tpch,hash_join,datafusion.execution.target_partitions,128,2,1.041172
tpch,hash_join,datafusion.execution.target_partitions,128,3,1.076624
tpch,sort_merge_join,datafusion.execution.target_partitions,128,1,7.487918
tpch,sort_merge_join,datafusion.execution.target_partitions,128,2,6.001166
tpch,sort_merge_join,datafusion.execution.target_partitions,128,3,5.555525
futures,window,datafusion.execution.target_partitions,128,1,1.188980
futures,window,datafusion.execution.target_partitions,128,2,0.802478
futures,window,datafusion.execution.target_partitions,128,3,0.815714
iceberg,append_files,datafusion.execution.target_partitions,128,1,0.968310
iceberg,append_files,datafusion.execution.target_partitions,128,2,0.937549
iceberg,append_files,datafusion.execution.target_partitions,128,3,0.950877
iceberg,overwrite_partition,datafusion.execution.target_partitions,128,1,0.188927
iceberg,overwrite_partition,datafusion.execution.target_partitions,128,2,0.168874
iceberg,overwrite_partition,datafusion.execution.target_partitions,128,3,0.191570
iceberg,merge_updates,datafusion.execution.target_partitions,128,1,0.667519
iceberg,merge_updates,datafusion.execution.target_partitions,128,2,0.650576
iceberg,merge_updates,datafusion.execution.target_partitions,128,3,0.651240
