dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.optimizer.prefer_hash_join,@default,1,0.168619
futures,scan_filter,datafusion.optimizer.prefer_hash_join,@default,2,0.012130
futures,scan_filter,datafusion.optimizer.prefer_hash_join,@default,3,0.011561
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,@default,1,0.348260
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,@default,2,0.266957
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,@default,3,0.263807
futures,group_by,datafusion.optimizer.prefer_hash_join,@default,1,0.022354
futures,group_by,datafusion.optimizer.prefer_hash_join,@default,2,0.033654
futures,group_by,datafusion.optimizer.prefer_hash_join,@default,3,0.029997
tpch,group_by,datafusion.optimizer.prefer_hash_join,@default,1,0.575837
tpch,group_by,datafusion.optimizer.prefer_hash_join,@default,2,0.527767
tpch,group_by,datafusion.optimizer.prefer_hash_join,@default,3,0.514981
tpch,hash_join,datafusion.optimizer.prefer_hash_join,@default,1,1.081527
tpch,hash_join,datafusion.optimizer.prefer_hash_join,@default,2,1.075190
tpch,hash_join,datafusion.optimizer.prefer_hash_join,@default,3,1.235407
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,@default,1,5.141414
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,@default,2,5.254378
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,@default,3,5.454801
futures,window,datafusion.optimizer.prefer_hash_join,@default,1,0.913280
futures,window,datafusion.optimizer.prefer_hash_join,@default,2,0.636726
futures,window,datafusion.optimizer.prefer_hash_join,@default,3,0.668119
iceberg,append_files,datafusion.optimizer.prefer_hash_join,@default,1,0.771060
iceberg,append_files,datafusion.optimizer.prefer_hash_join,@default,2,0.771843
iceberg,append_files,datafusion.optimizer.prefer_hash_join,@default,3,0.774583
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,@default,1,0.186421
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,@default,2,0.221831
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,@default,3,0.166705
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,@default,1,0.586386
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,@default,2,0.593268
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,@default,3,0.621840
futures,scan_filter,datafusion.optimizer.prefer_hash_join,true,1,0.011510
futures,scan_filter,datafusion.optimizer.prefer_hash_join,true,2,0.012492
futures,scan_filter,datafusion.optimizer.prefer_hash_join,true,3,0.011995
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,true,1,0.316113
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,true,2,0.272265
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,true,3,0.275963
futures,group_by,datafusion.optimizer.prefer_hash_join,true,1,0.024789
futures,group_by,datafusion.optimizer.prefer_hash_join,true,2,0.137616
futures,group_by,datafusion.optimizer.prefer_hash_join,true,3,0.074544
tpch,group_by,datafusion.optimizer.prefer_hash_join,true,1,0.533727
tpch,group_by,datafusion.optimizer.prefer_hash_join,true,2,0.529548
tpch,group_by,datafusion.optimizer.prefer_hash_join,true,3,0.554889
tpch,hash_join,datafusion.optimizer.prefer_hash_join,true,1,1.150605
tpch,hash_join,datafusion.optimizer.prefer_hash_join,true,2,1.144638
tpch,hash_join,datafusion.optimizer.prefer_hash_join,true,3,1.053935
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,true,1,5.539053
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,true,2,5.270416
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,true,3,5.552219
futures,window,datafusion.optimizer.prefer_hash_join,true,1,0.744509
futures,window,datafusion.optimizer.prefer_hash_join,true,2,0.813713
futures,window,datafusion.optimizer.prefer_hash_join,true,3,0.651458
iceberg,append_files,datafusion.optimizer.prefer_hash_join,true,1,0.785064
iceberg,append_files,datafusion.optimizer.prefer_hash_join,true,2,0.798923
iceberg,append_files,datafusion.optimizer.prefer_hash_join,true,3,0.778726
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,true,1,0.459087
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,true,2,0.170825
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,true,3,0.169405
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,true,1,0.606842
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,true,2,0.618763
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,true,3,0.622971
futures,scan_filter,datafusion.optimizer.prefer_hash_join,false,1,0.011355
futures,scan_filter,datafusion.optimizer.prefer_hash_join,false,2,0.008572
futures,scan_filter,datafusion.optimizer.prefer_hash_join,false,3,0.009987
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,false,1,0.317468
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,false,2,0.274018
tpch,scan_filter,datafusion.optimizer.prefer_hash_join,false,3,0.263990
futures,group_by,datafusion.optimizer.prefer_hash_join,false,1,0.029862
futures,group_by,datafusion.optimizer.prefer_hash_join,false,2,0.188461
futures,group_by,datafusion.optimizer.prefer_hash_join,false,3,0.037559
tpch,group_by,datafusion.optimizer.prefer_hash_join,false,1,0.529450
tpch,group_by,datafusion.optimizer.prefer_hash_join,false,2,0.521553
tpch,group_by,datafusion.optimizer.prefer_hash_join,false,3,0.514238
tpch,hash_join,datafusion.optimizer.prefer_hash_join,false,1,11.170439
tpch,hash_join,datafusion.optimizer.prefer_hash_join,false,2,11.038487
tpch,hash_join,datafusion.optimizer.prefer_hash_join,false,3,10.728229
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,false,1,18.422908
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,false,2,18.858968
tpch,sort_merge_join,datafusion.optimizer.prefer_hash_join,false,3,18.688069
futures,window,datafusion.optimizer.prefer_hash_join,false,1,1.050114
futures,window,datafusion.optimizer.prefer_hash_join,false,2,0.652833
futures,window,datafusion.optimizer.prefer_hash_join,false,3,0.669473
iceberg,append_files,datafusion.optimizer.prefer_hash_join,false,1,0.832412
iceberg,append_files,datafusion.optimizer.prefer_hash_join,false,2,0.795719
iceberg,append_files,datafusion.optimizer.prefer_hash_join,false,3,0.792294
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,false,1,0.188762
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,false,2,0.169011
iceberg,overwrite_partition,datafusion.optimizer.prefer_hash_join,false,3,0.262058
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,false,1,0.661337
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,false,2,0.601703
iceberg,merge_updates,datafusion.optimizer.prefer_hash_join,false,3,0.592375
