dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.optimizer.repartition_aggregations,@default,1,0.163892
futures,scan_filter,datafusion.optimizer.repartition_aggregations,@default,2,0.010993
futures,scan_filter,datafusion.optimizer.repartition_aggregations,@default,3,0.010840
tpch,scan_filter,datafusion.optimizer.repartition_aggregations,@default,1,0.364015
tpch,scan_filter,datafusion.optimizer.repartition_aggregations,@default,2,0.263355
tpch,scan_filter,datafusion.optimizer.repartition_aggregations,@default,3,0.265345
futures,group_by,datafusion.optimizer.repartition_aggregations,@default,1,0.022987
futures,group_by,datafusion.optimizer.repartition_aggregations,@default,2,0.036267
futures,group_by,datafusion.optimizer.repartition_aggregations,@default,3,0.028717
tpch,group_by,datafusion.optimizer.repartition_aggregations,@default,1,0.560699
tpch,group_by,datafusion.optimizer.repartition_aggregations,@default,2,0.518731
tpch,group_by,datafusion.optimizer.repartition_aggregations,@default,3,0.533661
tpch,hash_join,datafusion.optimizer.repartition_aggregations,@default,1,1.041038
tpch,hash_join,datafusion.optimizer.repartition_aggregations,@default,2,1.104978
tpch,hash_join,datafusion.optimizer.repartition_aggregations,@default,3,1.209411
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,@default,1,4.966005
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,@default,2,5.301641
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,@default,3,5.265130
futures,window,datafusion.optimizer.repartition_aggregations,@default,1,0.983985
futures,window,datafusion.optimizer.repartition_aggregations,@default,2,0.652598
futures,window,datafusion.optimizer.repartition_aggregations,@default,3,0.671983
iceberg,append_files,datafusion.optimizer.repartition_aggregations,@default,1,0.791553
iceberg,append_files,datafusion.optimizer.repartition_aggregations,@default,2,0.787420
iceberg,append_files,datafusion.optimizer.repartition_aggregations,@default,3,0.778558
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,@default,1,0.169371
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,@default,2,0.164971
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,@default,3,0.166189
iceberg,merge_updates,datafusion.optimizer.repartition_aggregations,@default,1,0.620858
iceberg,merge_updates,datafusion.optimizer.repartition_aggregations,@default,2,0.610291
iceberg,merge_updates,datafusion.optimizer.repartition_aggregations,@default,3,0.542530
futures,scan_filter,datafusion.optimizer.repartition_aggregations,true,1,0.010395
futures,scan_filter,datafusion.optimizer.repartition_aggregations,true,2,0.019630
futures,scan_filter,datafusion.optimizer.repartition_aggregations,true,3,0.010871
tpch,scan_filter,datafusion.optimizer.repartition_aggregations,true,1,0.295858
tpch,scan_filter,datafusion.optimizer.repartition_aggregations,true,2,0.270274
tpch,scan_filter,datafusion.optimizer.repartition_aggregations,true,3,0.284330
futures,group_by,datafusion.optimizer.repartition_aggregations,true,1,0.028848
futures,group_by,datafusion.optimizer.repartition_aggregations,true,2,0.067830
futures,group_by,datafusion.optimizer.repartition_aggregations,true,3,0.036740
tpch,group_by,datafusion.optimizer.repartition_aggregations,true,1,0.535247
tpch,group_by,datafusion.optimizer.repartition_aggregations,true,2,0.529074
tpch,group_by,datafusion.optimizer.repartition_aggregations,true,3,0.509996
tpch,hash_join,datafusion.optimizer.repartition_aggregations,true,1,1.037470
tpch,hash_join,datafusion.optimizer.repartition_aggregations,true,2,1.091983
tpch,hash_join,datafusion.optimizer.repartition_aggregations,true,3,1.043203
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,true,1,5.381725
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,true,2,5.621650
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,true,3,5.271765
futures,window,datafusion.optimizer.repartition_aggregations,true,1,1.050649
futures,window,datafusion.optimizer.repartition_aggregations,true,2,0.663274
futures,window,datafusion.optimizer.repartition_aggregations,true,3,0.636465
iceberg,append_files,datafusion.optimizer.repartition_aggregations,true,1,0.795318
iceberg,append_files,datafusion.optimizer.repartition_aggregations,true,2,0.788678
iceberg,append_files,datafusion.optimizer.repartition_aggregations,true,3,0.780721
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,true,1,0.189708
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,true,2,0.200683
