dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.optimizer.repartition_file_scans,@default,1,0.173135
futures,scan_filter,datafusion.optimizer.repartition_file_scans,@default,2,0.013026
futures,scan_filter,datafusion.optimizer.repartition_file_scans,@default,3,0.011381
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,@default,1,0.359857
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,@default,2,0.272233
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,@default,3,0.258682
futures,group_by,datafusion.optimizer.repartition_file_scans,@default,1,0.030881
futures,group_by,datafusion.optimizer.repartition_file_scans,@default,2,0.028081
futures,group_by,datafusion.optimizer.repartition_file_scans,@default,3,0.028856
tpch,group_by,datafusion.optimizer.repartition_file_scans,@default,1,0.550427
tpch,group_by,datafusion.optimizer.repartition_file_scans,@default,2,0.535396
tpch,group_by,datafusion.optimizer.repartition_file_scans,@default,3,0.526187
tpch,hash_join,datafusion.optimizer.repartition_file_scans,@default,1,1.066266
tpch,hash_join,datafusion.optimizer.repartition_file_scans,@default,2,1.046877
tpch,hash_join,datafusion.optimizer.repartition_file_scans,@default,3,1.144481
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,@default,1,4.982712
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,@default,2,5.231281
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,@default,3,5.434589
futures,window,datafusion.optimizer.repartition_file_scans,@default,1,0.715343
futures,window,datafusion.optimizer.repartition_file_scans,@default,2,0.771325
futures,window,datafusion.optimizer.repartition_file_scans,@default,3,0.655083
iceberg,append_files,datafusion.optimizer.repartition_file_scans,@default,1,0.775660
iceberg,append_files,datafusion.optimizer.repartition_file_scans,@default,2,0.779631
iceberg,append_files,datafusion.optimizer.repartition_file_scans,@default,3,0.795028
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,@default,1,0.165390
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,@default,2,0.166434
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,@default,3,0.167034
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,@default,1,0.622592
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,@default,2,0.607105
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,@default,3,0.610718
futures,scan_filter,datafusion.optimizer.repartition_file_scans,true,1,0.017617
futures,scan_filter,datafusion.optimizer.repartition_file_scans,true,2,0.011368
futures,scan_filter,datafusion.optimizer.repartition_file_scans,true,3,0.012306
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,true,1,0.299726
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,true,2,0.270627
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,true,3,0.313614
futures,group_by,datafusion.optimizer.repartition_file_scans,true,1,0.049842
futures,group_by,datafusion.optimizer.repartition_file_scans,true,2,0.064360
futures,group_by,datafusion.optimizer.repartition_file_scans,true,3,0.036356
tpch,group_by,datafusion.optimizer.repartition_file_scans,true,1,0.525462
tpch,group_by,datafusion.optimizer.repartition_file_scans,true,2,0.514909
tpch,group_by,datafusion.optimizer.repartition_file_scans,true,3,0.529475
tpch,hash_join,datafusion.optimizer.repartition_file_scans,true,1,1.076696
tpch,hash_join,datafusion.optimizer.repartition_file_scans,true,2,0.997926
tpch,hash_join,datafusion.optimizer.repartition_file_scans,true,3,0.983448
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,true,1,5.377093
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,true,2,5.442666
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,true,3,5.757893
futures,window,datafusion.optimizer.repartition_file_scans,true,1,1.018580
futures,window,datafusion.optimizer.repartition_file_scans,true,2,0.659931
futures,window,datafusion.optimizer.repartition_file_scans,true,3,0.651540
iceberg,append_files,datafusion.optimizer.repartition_file_scans,true,1,0.792740
iceberg,append_files,datafusion.optimizer.repartition_file_scans,true,2,0.787763
iceberg,append_files,datafusion.optimizer.repartition_file_scans,true,3,0.783638
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,true,1,0.169321
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,true,2,0.166771
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,true,3,0.166081
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,true,1,0.607419
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,true,2,0.628198
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,true,3,0.602944
futures,scan_filter,datafusion.optimizer.repartition_file_scans,false,1,0.004339
futures,scan_filter,datafusion.optimizer.repartition_file_scans,false,2,0.009523
futures,scan_filter,datafusion.optimizer.repartition_file_scans,false,3,0.003915
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,false,1,1.876775
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,false,2,1.780568
tpch,scan_filter,datafusion.optimizer.repartition_file_scans,false,3,1.824611
futures,group_by,datafusion.optimizer.repartition_file_scans,false,1,0.061183
futures,group_by,datafusion.optimizer.repartition_file_scans,false,2,0.064389
futures,group_by,datafusion.optimizer.repartition_file_scans,false,3,0.057133
tpch,group_by,datafusion.optimizer.repartition_file_scans,false,1,1.895492
tpch,group_by,datafusion.optimizer.repartition_file_scans,false,2,2.033072
tpch,group_by,datafusion.optimizer.repartition_file_scans,false,3,1.924339
tpch,hash_join,datafusion.optimizer.repartition_file_scans,false,1,3.040387
tpch,hash_join,datafusion.optimizer.repartition_file_scans,false,2,3.241685
tpch,hash_join,datafusion.optimizer.repartition_file_scans,false,3,3.115463
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,false,1,7.872052
