dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.optimizer.repartition_joins,@default,1,0.164154
futures,scan_filter,datafusion.optimizer.repartition_joins,@default,2,0.012405
futures,scan_filter,datafusion.optimizer.repartition_joins,@default,3,0.012494
tpch,scan_filter,datafusion.optimizer.repartition_joins,@default,1,0.361802
tpch,scan_filter,datafusion.optimizer.repartition_joins,@default,2,0.272551
tpch,scan_filter,datafusion.optimizer.repartition_joins,@default,3,0.258238
futures,group_by,datafusion.optimizer.repartition_joins,@default,1,0.034808
futures,group_by,datafusion.optimizer.repartition_joins,@default,2,0.026854
futures,group_by,datafusion.optimizer.repartition_joins,@default,3,0.032271
tpch,group_by,datafusion.optimizer.repartition_joins,@default,1,0.571488
tpch,group_by,datafusion.optimizer.repartition_joins,@default,2,0.522949
tpch,group_by,datafusion.optimizer.repartition_joins,@default,3,0.512016
tpch,hash_join,datafusion.optimizer.repartition_joins,@default,1,1.128546
tpch,hash_join,datafusion.optimizer.repartition_joins,@default,2,1.032324
tpch,hash_join,datafusion.optimizer.repartition_joins,@default,3,1.232689
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,@default,1,5.050965
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,@default,2,5.246549
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,@default,3,5.435735
futures,window,datafusion.optimizer.repartition_joins,@default,1,0.971107
futures,window,datafusion.optimizer.repartition_joins,@default,2,0.651307
futures,window,datafusion.optimizer.repartition_joins,@default,3,0.672836
iceberg,append_files,datafusion.optimizer.repartition_joins,@default,1,0.791387
iceberg,append_files,datafusion.optimizer.repartition_joins,@default,2,0.784050
iceberg,append_files,datafusion.optimizer.repartition_joins,@default,3,0.789900
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,@default,1,0.168046
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,@default,2,0.167577
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,@default,3,0.167002
iceberg,merge_updates,datafusion.optimizer.repartition_joins,@default,1,0.638420
iceberg,merge_updates,datafusion.optimizer.repartition_joins,@default,2,0.603280
iceberg,merge_updates,datafusion.optimizer.repartition_joins,@default,3,0.584832
futures,scan_filter,datafusion.optimizer.repartition_joins,true,1,0.010339
futures,scan_filter,datafusion.optimizer.repartition_joins,true,2,0.010199
futures,scan_filter,datafusion.optimizer.repartition_joins,true,3,0.020497
tpch,scan_filter,datafusion.optimizer.repartition_joins,true,1,0.306274
tpch,scan_filter,datafusion.optimizer.repartition_joins,true,2,0.277658
tpch,scan_filter,datafusion.optimizer.repartition_joins,true,3,0.266261
futures,group_by,datafusion.optimizer.repartition_joins,true,1,0.084833
futures,group_by,datafusion.optimizer.repartition_joins,true,2,0.094717
futures,group_by,datafusion.optimizer.repartition_joins,true,3,0.038099
tpch,group_by,datafusion.optimizer.repartition_joins,true,1,0.527005
tpch,group_by,datafusion.optimizer.repartition_joins,true,2,0.530827
tpch,group_by,datafusion.optimizer.repartition_joins,true,3,0.528225
tpch,hash_join,datafusion.optimizer.repartition_joins,true,1,1.094298
tpch,hash_join,datafusion.optimizer.repartition_joins,true,2,1.081076
tpch,hash_join,datafusion.optimizer.repartition_joins,true,3,1.136814
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,true,1,5.475489
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,true,2,5.092812
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,true,3,5.776966
futures,window,datafusion.optimizer.repartition_joins,true,1,1.014464
