dataset,query,knob,value,repetition,seconds
futures,scan_filter,repark.batch.size,@default,1,0.164927
futures,scan_filter,repark.batch.size,@default,2,0.013606
futures,scan_filter,repark.batch.size,@default,3,0.011978
tpch,scan_filter,repark.batch.size,@default,1,0.362343
tpch,scan_filter,repark.batch.size,@default,2,0.265062
tpch,scan_filter,repark.batch.size,@default,3,0.253613
futures,group_by,repark.batch.size,@default,1,0.029558
futures,group_by,repark.batch.size,@default,2,0.038153
futures,group_by,repark.batch.size,@default,3,0.030718
tpch,group_by,repark.batch.size,@default,1,0.553282
tpch,group_by,repark.batch.size,@default,2,0.526007
tpch,group_by,repark.batch.size,@default,3,0.521891
tpch,hash_join,repark.batch.size,@default,1,1.091576
tpch,hash_join,repark.batch.size,@default,2,1.082656
tpch,hash_join,repark.batch.size,@default,3,1.253674
tpch,sort_merge_join,repark.batch.size,@default,1,5.043255
tpch,sort_merge_join,repark.batch.size,@default,2,5.253881
tpch,sort_merge_join,repark.batch.size,@default,3,5.385690
futures,window,repark.batch.size,@default,1,0.953257
futures,window,repark.batch.size,@default,2,0.652236
futures,window,repark.batch.size,@default,3,0.668518
iceberg,append_files,repark.batch.size,@default,1,0.796331
iceberg,append_files,repark.batch.size,@default,2,0.803724
iceberg,append_files,repark.batch.size,@default,3,0.799420
iceberg,overwrite_partition,repark.batch.size,@default,1,0.164665
iceberg,overwrite_partition,repark.batch.size,@default,2,0.168838
iceberg,overwrite_partition,repark.batch.size,@default,3,0.220260
iceberg,merge_updates,repark.batch.size,@default,1,0.607763
iceberg,merge_updates,repark.batch.size,@default,2,0.569795
iceberg,merge_updates,repark.batch.size,@default,3,0.626860
futures,scan_filter,repark.batch.size,16384,1,0.010636
futures,scan_filter,repark.batch.size,16384,2,0.011804
futures,scan_filter,repark.batch.size,16384,3,0.014507
tpch,scan_filter,repark.batch.size,16384,1,0.182609
tpch,scan_filter,repark.batch.size,16384,2,0.150186
tpch,scan_filter,repark.batch.size,16384,3,0.148946
futures,group_by,repark.batch.size,16384,1,0.031468
futures,group_by,repark.batch.size,16384,2,0.029639
futures,group_by,repark.batch.size,16384,3,0.031239
tpch,group_by,repark.batch.size,16384,1,0.235628
tpch,group_by,repark.batch.size,16384,2,0.155820
tpch,group_by,repark.batch.size,16384,3,0.174794
tpch,hash_join,repark.batch.size,16384,1,0.888475
tpch,hash_join,repark.batch.size,16384,2,0.893920
tpch,hash_join,repark.batch.size,16384,3,0.817815
tpch,sort_merge_join,repark.batch.size,16384,1,5.051280
tpch,sort_merge_join,repark.batch.size,16384,2,5.164965
tpch,sort_merge_join,repark.batch.size,16384,3,5.151605
futures,window,repark.batch.size,16384,1,0.988124
futures,window,repark.batch.size,16384,2,0.666706
futures,window,repark.batch.size,16384,3,0.664175
iceberg,append_files,repark.batch.size,16384,1,0.796679
iceberg,append_files,repark.batch.size,16384,2,0.783259
iceberg,append_files,repark.batch.size,16384,3,0.793897
iceberg,overwrite_partition,repark.batch.size,16384,1,0.169378
iceberg,overwrite_partition,repark.batch.size,16384,2,0.166677
iceberg,overwrite_partition,repark.batch.size,16384,3,0.169121
iceberg,merge_updates,repark.batch.size,16384,1,0.613593
iceberg,merge_updates,repark.batch.size,16384,2,0.643914
iceberg,merge_updates,repark.batch.size,16384,3,0.593673
futures,scan_filter,repark.batch.size,262144,1,0.014754
futures,scan_filter,repark.batch.size,262144,2,0.011850
futures,scan_filter,repark.batch.size,262144,3,0.011982
tpch,scan_filter,repark.batch.size,262144,1,0.328085
tpch,scan_filter,repark.batch.size,262144,2,0.322050
tpch,scan_filter,repark.batch.size,262144,3,0.390571
futures,group_by,repark.batch.size,262144,1,0.031078
futures,group_by,repark.batch.size,262144,2,0.030175
futures,group_by,repark.batch.size,262144,3,0.078621
tpch,group_by,repark.batch.size,262144,1,0.622296
tpch,group_by,repark.batch.size,262144,2,0.622372
tpch,group_by,repark.batch.size,262144,3,0.661593
tpch,hash_join,repark.batch.size,262144,1,1.187213
tpch,hash_join,repark.batch.size,262144,2,1.432626
tpch,hash_join,repark.batch.size,262144,3,1.187389
tpch,sort_merge_join,repark.batch.size,262144,1,5.724201
tpch,sort_merge_join,repark.batch.size,262144,2,5.680198
tpch,sort_merge_join,repark.batch.size,262144,3,5.899446
futures,window,repark.batch.size,262144,1,1.002902
futures,window,repark.batch.size,262144,2,0.690788
futures,window,repark.batch.size,262144,3,0.732089
iceberg,append_files,repark.batch.size,262144,1,0.787774
iceberg,append_files,repark.batch.size,262144,2,0.789430
iceberg,append_files,repark.batch.size,262144,3,0.782873
iceberg,overwrite_partition,repark.batch.size,262144,1,0.171686
iceberg,overwrite_partition,repark.batch.size,262144,2,0.172366
iceberg,overwrite_partition,repark.batch.size,262144,3,0.168662
iceberg,merge_updates,repark.batch.size,262144,1,0.607375
iceberg,merge_updates,repark.batch.size,262144,2,0.642092
iceberg,merge_updates,repark.batch.size,262144,3,0.640424
