dataset,query,knob,value,repetition,seconds
futures,scan_filter,repark.merge.file_scoped_rewrite,@default,1,0.191503
futures,scan_filter,repark.merge.file_scoped_rewrite,@default,2,0.011565
futures,scan_filter,repark.merge.file_scoped_rewrite,@default,3,0.006892
tpch,scan_filter,repark.merge.file_scoped_rewrite,@default,1,0.375264
tpch,scan_filter,repark.merge.file_scoped_rewrite,@default,2,0.311846
tpch,scan_filter,repark.merge.file_scoped_rewrite,@default,3,0.266830
futures,group_by,repark.merge.file_scoped_rewrite,@default,1,0.038634
futures,group_by,repark.merge.file_scoped_rewrite,@default,2,0.035845
futures,group_by,repark.merge.file_scoped_rewrite,@default,3,0.030319
tpch,group_by,repark.merge.file_scoped_rewrite,@default,1,0.610049
tpch,group_by,repark.merge.file_scoped_rewrite,@default,2,0.565923
tpch,group_by,repark.merge.file_scoped_rewrite,@default,3,0.526530
tpch,hash_join,repark.merge.file_scoped_rewrite,@default,1,1.087153
tpch,hash_join,repark.merge.file_scoped_rewrite,@default,2,1.171710
tpch,hash_join,repark.merge.file_scoped_rewrite,@default,3,1.107017
tpch,sort_merge_join,repark.merge.file_scoped_rewrite,@default,1,4.904320
tpch,sort_merge_join,repark.merge.file_scoped_rewrite,@default,2,5.342515
tpch,sort_merge_join,repark.merge.file_scoped_rewrite,@default,3,5.122259
futures,window,repark.merge.file_scoped_rewrite,@default,1,0.982330
futures,window,repark.merge.file_scoped_rewrite,@default,2,0.666487
futures,window,repark.merge.file_scoped_rewrite,@default,3,0.661752
iceberg,append_files,repark.merge.file_scoped_rewrite,@default,1,0.787150
iceberg,append_files,repark.merge.file_scoped_rewrite,@default,2,0.806997
iceberg,append_files,repark.merge.file_scoped_rewrite,@default,3,0.786300
iceberg,overwrite_partition,repark.merge.file_scoped_rewrite,@default,1,0.167537
iceberg,overwrite_partition,repark.merge.file_scoped_rewrite,@default,2,0.167140
iceberg,overwrite_partition,repark.merge.file_scoped_rewrite,@default,3,0.173155
iceberg,merge_updates,repark.merge.file_scoped_rewrite,@default,1,0.598293
iceberg,merge_updates,repark.merge.file_scoped_rewrite,@default,2,0.645666
iceberg,merge_updates,repark.merge.file_scoped_rewrite,@default,3,0.567481
futures,scan_filter,repark.merge.file_scoped_rewrite,true,1,0.011163
futures,scan_filter,repark.merge.file_scoped_rewrite,true,2,0.013968
futures,scan_filter,repark.merge.file_scoped_rewrite,true,3,0.012239
tpch,scan_filter,repark.merge.file_scoped_rewrite,true,1,0.319803
tpch,scan_filter,repark.merge.file_scoped_rewrite,true,2,0.306482
tpch,scan_filter,repark.merge.file_scoped_rewrite,true,3,0.269163
futures,group_by,repark.merge.file_scoped_rewrite,true,1,0.031680
futures,group_by,repark.merge.file_scoped_rewrite,true,2,0.039155
futures,group_by,repark.merge.file_scoped_rewrite,true,3,0.060996
tpch,group_by,repark.merge.file_scoped_rewrite,true,1,0.579213
tpch,group_by,repark.merge.file_scoped_rewrite,true,2,0.538019
tpch,group_by,repark.merge.file_scoped_rewrite,true,3,0.528580
tpch,hash_join,repark.merge.file_scoped_rewrite,true,1,1.088998
tpch,hash_join,repark.merge.file_scoped_rewrite,true,2,1.123466
tpch,hash_join,repark.merge.file_scoped_rewrite,true,3,1.165950
tpch,sort_merge_join,repark.merge.file_scoped_rewrite,true,1,5.697612
tpch,sort_merge_join,repark.merge.file_scoped_rewrite,true,2,5.783832
tpch,sort_merge_join,repark.merge.file_scoped_rewrite,true,3,5.620429
futures,window,repark.merge.file_scoped_rewrite,true,1,0.974161
futures,window,repark.merge.file_scoped_rewrite,true,2,0.666413
