dataset,query,knob,value,repetition,seconds
futures,scan_filter,repark.merge.scan_pruning,@default,1,0.161071
futures,scan_filter,repark.merge.scan_pruning,@default,2,0.013722
futures,scan_filter,repark.merge.scan_pruning,@default,3,0.011848
tpch,scan_filter,repark.merge.scan_pruning,@default,1,0.358231
tpch,scan_filter,repark.merge.scan_pruning,@default,2,0.270253
tpch,scan_filter,repark.merge.scan_pruning,@default,3,0.257412
futures,group_by,repark.merge.scan_pruning,@default,1,0.020741
futures,group_by,repark.merge.scan_pruning,@default,2,0.038698
futures,group_by,repark.merge.scan_pruning,@default,3,0.024777
tpch,group_by,repark.merge.scan_pruning,@default,1,0.565340
tpch,group_by,repark.merge.scan_pruning,@default,2,0.527842
tpch,group_by,repark.merge.scan_pruning,@default,3,0.525817
tpch,hash_join,repark.merge.scan_pruning,@default,1,1.078546
tpch,hash_join,repark.merge.scan_pruning,@default,2,1.150616
tpch,hash_join,repark.merge.scan_pruning,@default,3,1.148645
tpch,sort_merge_join,repark.merge.scan_pruning,@default,1,5.041107
tpch,sort_merge_join,repark.merge.scan_pruning,@default,2,5.225402
tpch,sort_merge_join,repark.merge.scan_pruning,@default,3,5.504368
futures,window,repark.merge.scan_pruning,@default,1,0.711938
futures,window,repark.merge.scan_pruning,@default,2,0.798450
futures,window,repark.merge.scan_pruning,@default,3,0.612307
iceberg,append_files,repark.merge.scan_pruning,@default,1,0.788322
iceberg,append_files,repark.merge.scan_pruning,@default,2,0.781793
iceberg,append_files,repark.merge.scan_pruning,@default,3,0.775978
iceberg,overwrite_partition,repark.merge.scan_pruning,@default,1,0.166821
iceberg,overwrite_partition,repark.merge.scan_pruning,@default,2,0.165435
iceberg,overwrite_partition,repark.merge.scan_pruning,@default,3,0.178278
iceberg,merge_updates,repark.merge.scan_pruning,@default,1,0.577218
iceberg,merge_updates,repark.merge.scan_pruning,@default,2,0.593827
iceberg,merge_updates,repark.merge.scan_pruning,@default,3,0.606284
futures,scan_filter,repark.merge.scan_pruning,true,1,0.011048
futures,scan_filter,repark.merge.scan_pruning,true,2,0.015656
futures,scan_filter,repark.merge.scan_pruning,true,3,0.012551
tpch,scan_filter,repark.merge.scan_pruning,true,1,0.278051
tpch,scan_filter,repark.merge.scan_pruning,true,2,0.275803
tpch,scan_filter,repark.merge.scan_pruning,true,3,0.267860
futures,group_by,repark.merge.scan_pruning,true,1,0.086917
futures,group_by,repark.merge.scan_pruning,true,2,0.109096
futures,group_by,repark.merge.scan_pruning,true,3,0.035231
tpch,group_by,repark.merge.scan_pruning,true,1,0.541439
tpch,group_by,repark.merge.scan_pruning,true,2,0.552555
tpch,group_by,repark.merge.scan_pruning,true,3,0.586226
tpch,hash_join,repark.merge.scan_pruning,true,1,1.137988
tpch,hash_join,repark.merge.scan_pruning,true,2,0.998075
tpch,hash_join,repark.merge.scan_pruning,true,3,1.033170
tpch,sort_merge_join,repark.merge.scan_pruning,true,1,5.415629
tpch,sort_merge_join,repark.merge.scan_pruning,true,2,5.380216
tpch,sort_merge_join,repark.merge.scan_pruning,true,3,5.448858
futures,window,repark.merge.scan_pruning,true,1,0.871595
futures,window,repark.merge.scan_pruning,true,2,0.709915
futures,window,repark.merge.scan_pruning,true,3,0.656376
iceberg,append_files,repark.merge.scan_pruning,true,1,0.794018
iceberg,append_files,repark.merge.scan_pruning,true,2,0.791010
iceberg,append_files,repark.merge.scan_pruning,true,3,0.802103
iceberg,overwrite_partition,repark.merge.scan_pruning,true,1,0.172396
iceberg,overwrite_partition,repark.merge.scan_pruning,true,2,0.180022
iceberg,overwrite_partition,repark.merge.scan_pruning,true,3,0.167378
iceberg,merge_updates,repark.merge.scan_pruning,true,1,0.624928
iceberg,merge_updates,repark.merge.scan_pruning,true,2,0.654363
iceberg,merge_updates,repark.merge.scan_pruning,true,3,0.599744
futures,scan_filter,repark.merge.scan_pruning,false,1,0.010902
futures,scan_filter,repark.merge.scan_pruning,false,2,0.012158
futures,scan_filter,repark.merge.scan_pruning,false,3,0.011949
tpch,scan_filter,repark.merge.scan_pruning,false,1,0.293251
tpch,scan_filter,repark.merge.scan_pruning,false,2,0.344377
tpch,scan_filter,repark.merge.scan_pruning,false,3,0.270835
futures,group_by,repark.merge.scan_pruning,false,1,0.025075
futures,group_by,repark.merge.scan_pruning,false,2,0.093666
futures,group_by,repark.merge.scan_pruning,false,3,0.076135
tpch,group_by,repark.merge.scan_pruning,false,1,0.537883
tpch,group_by,repark.merge.scan_pruning,false,2,0.517533
tpch,group_by,repark.merge.scan_pruning,false,3,0.559151
tpch,hash_join,repark.merge.scan_pruning,false,1,1.145988
tpch,hash_join,repark.merge.scan_pruning,false,2,1.039178
tpch,hash_join,repark.merge.scan_pruning,false,3,1.031452
tpch,sort_merge_join,repark.merge.scan_pruning,false,1,5.740443
tpch,sort_merge_join,repark.merge.scan_pruning,false,2,5.866583
tpch,sort_merge_join,repark.merge.scan_pruning,false,3,5.993926
futures,window,repark.merge.scan_pruning,false,1,0.864390
futures,window,repark.merge.scan_pruning,false,2,0.716954
futures,window,repark.merge.scan_pruning,false,3,0.651729
iceberg,append_files,repark.merge.scan_pruning,false,1,0.795167
iceberg,append_files,repark.merge.scan_pruning,false,2,0.789160
iceberg,append_files,repark.merge.scan_pruning,false,3,0.792904
iceberg,overwrite_partition,repark.merge.scan_pruning,false,1,0.167761
iceberg,overwrite_partition,repark.merge.scan_pruning,false,2,0.168757
iceberg,overwrite_partition,repark.merge.scan_pruning,false,3,0.176769
iceberg,merge_updates,repark.merge.scan_pruning,false,1,0.890156
iceberg,merge_updates,repark.merge.scan_pruning,false,2,0.869250
iceberg,merge_updates,repark.merge.scan_pruning,false,3,0.858911
