dataset,query,knob,value,repetition,seconds
futures,scan_filter,repark.scan.concurrency_limit,@default,1,0.170109
futures,scan_filter,repark.scan.concurrency_limit,@default,2,0.011180
futures,scan_filter,repark.scan.concurrency_limit,@default,3,0.008980
tpch,scan_filter,repark.scan.concurrency_limit,@default,1,0.343051
tpch,scan_filter,repark.scan.concurrency_limit,@default,2,0.263543
tpch,scan_filter,repark.scan.concurrency_limit,@default,3,0.264565
futures,group_by,repark.scan.concurrency_limit,@default,1,0.022427
futures,group_by,repark.scan.concurrency_limit,@default,2,0.033267
futures,group_by,repark.scan.concurrency_limit,@default,3,0.029032
tpch,group_by,repark.scan.concurrency_limit,@default,1,0.572434
tpch,group_by,repark.scan.concurrency_limit,@default,2,0.536224
tpch,group_by,repark.scan.concurrency_limit,@default,3,0.525583
tpch,hash_join,repark.scan.concurrency_limit,@default,1,1.098481
tpch,hash_join,repark.scan.concurrency_limit,@default,2,1.163839
tpch,hash_join,repark.scan.concurrency_limit,@default,3,1.145952
tpch,sort_merge_join,repark.scan.concurrency_limit,@default,1,4.978590
tpch,sort_merge_join,repark.scan.concurrency_limit,@default,2,5.326987
tpch,sort_merge_join,repark.scan.concurrency_limit,@default,3,5.323165
futures,window,repark.scan.concurrency_limit,@default,1,0.685000
futures,window,repark.scan.concurrency_limit,@default,2,0.801762
futures,window,repark.scan.concurrency_limit,@default,3,0.635378
iceberg,append_files,repark.scan.concurrency_limit,@default,1,0.775323
iceberg,append_files,repark.scan.concurrency_limit,@default,2,0.793197
iceberg,append_files,repark.scan.concurrency_limit,@default,3,0.771552
iceberg,overwrite_partition,repark.scan.concurrency_limit,@default,1,0.168273
iceberg,overwrite_partition,repark.scan.concurrency_limit,@default,2,0.165637
iceberg,overwrite_partition,repark.scan.concurrency_limit,@default,3,0.166370
iceberg,merge_updates,repark.scan.concurrency_limit,@default,1,0.591892
iceberg,merge_updates,repark.scan.concurrency_limit,@default,2,0.593478
iceberg,merge_updates,repark.scan.concurrency_limit,@default,3,0.589154
futures,scan_filter,repark.scan.concurrency_limit,4,1,0.010043
futures,scan_filter,repark.scan.concurrency_limit,4,2,0.011683
futures,scan_filter,repark.scan.concurrency_limit,4,3,0.012308
tpch,scan_filter,repark.scan.concurrency_limit,4,1,0.304488
tpch,scan_filter,repark.scan.concurrency_limit,4,2,0.310237
tpch,scan_filter,repark.scan.concurrency_limit,4,3,0.282743
futures,group_by,repark.scan.concurrency_limit,4,1,0.058569
futures,group_by,repark.scan.concurrency_limit,4,2,0.060277
futures,group_by,repark.scan.concurrency_limit,4,3,0.064219
tpch,group_by,repark.scan.concurrency_limit,4,1,0.542509
tpch,group_by,repark.scan.concurrency_limit,4,2,0.558494
tpch,group_by,repark.scan.concurrency_limit,4,3,0.541393
tpch,hash_join,repark.scan.concurrency_limit,4,1,1.042958
tpch,hash_join,repark.scan.concurrency_limit,4,2,1.112488
tpch,hash_join,repark.scan.concurrency_limit,4,3,1.054039
tpch,sort_merge_join,repark.scan.concurrency_limit,4,1,5.509414
tpch,sort_merge_join,repark.scan.concurrency_limit,4,2,5.453458
tpch,sort_merge_join,repark.scan.concurrency_limit,4,3,5.438443
futures,window,repark.scan.concurrency_limit,4,1,0.996391
futures,window,repark.scan.concurrency_limit,4,2,0.615180
futures,window,repark.scan.concurrency_limit,4,3,0.643182
iceberg,append_files,repark.scan.concurrency_limit,4,1,0.795027
iceberg,append_files,repark.scan.concurrency_limit,4,2,0.826868
iceberg,append_files,repark.scan.concurrency_limit,4,3,0.814837
iceberg,overwrite_partition,repark.scan.concurrency_limit,4,1,0.173610
iceberg,overwrite_partition,repark.scan.concurrency_limit,4,2,0.169808
iceberg,overwrite_partition,repark.scan.concurrency_limit,4,3,0.169491
iceberg,merge_updates,repark.scan.concurrency_limit,4,1,0.602432
iceberg,merge_updates,repark.scan.concurrency_limit,4,2,0.592004
iceberg,merge_updates,repark.scan.concurrency_limit,4,3,0.630426
futures,scan_filter,repark.scan.concurrency_limit,16,1,0.012090
futures,scan_filter,repark.scan.concurrency_limit,16,2,0.014688
futures,scan_filter,repark.scan.concurrency_limit,16,3,0.021564
tpch,scan_filter,repark.scan.concurrency_limit,16,1,0.310063
tpch,scan_filter,repark.scan.concurrency_limit,16,2,0.279054
tpch,scan_filter,repark.scan.concurrency_limit,16,3,0.298671
futures,group_by,repark.scan.concurrency_limit,16,1,0.031588
futures,group_by,repark.scan.concurrency_limit,16,2,0.032159
futures,group_by,repark.scan.concurrency_limit,16,3,0.097592
tpch,group_by,repark.scan.concurrency_limit,16,1,0.533904
tpch,group_by,repark.scan.concurrency_limit,16,2,0.538221
tpch,group_by,repark.scan.concurrency_limit,16,3,0.539370
tpch,hash_join,repark.scan.concurrency_limit,16,1,1.018988
tpch,hash_join,repark.scan.concurrency_limit,16,2,1.146780
tpch,hash_join,repark.scan.concurrency_limit,16,3,1.574941
tpch,sort_merge_join,repark.scan.concurrency_limit,16,1,5.533303
tpch,sort_merge_join,repark.scan.concurrency_limit,16,2,5.501151
tpch,sort_merge_join,repark.scan.concurrency_limit,16,3,5.588729
futures,window,repark.scan.concurrency_limit,16,1,1.140419
futures,window,repark.scan.concurrency_limit,16,2,0.654310
futures,window,repark.scan.concurrency_limit,16,3,0.662655
iceberg,append_files,repark.scan.concurrency_limit,16,1,0.795997
iceberg,append_files,repark.scan.concurrency_limit,16,2,0.794838
iceberg,append_files,repark.scan.concurrency_limit,16,3,0.785815
iceberg,overwrite_partition,repark.scan.concurrency_limit,16,1,0.188975
iceberg,overwrite_partition,repark.scan.concurrency_limit,16,2,0.177144
iceberg,overwrite_partition,repark.scan.concurrency_limit,16,3,0.170483
iceberg,merge_updates,repark.scan.concurrency_limit,16,1,0.612338
iceberg,merge_updates,repark.scan.concurrency_limit,16,2,0.611943
iceberg,merge_updates,repark.scan.concurrency_limit,16,3,0.620495
