dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.batch_size,@default,1,4.509175
futures,scan_filter,datafusion.execution.batch_size,@default,2,0.012009
futures,scan_filter,datafusion.execution.batch_size,@default,3,0.012114
tpch,scan_filter,datafusion.execution.batch_size,@default,1,0.382071
tpch,scan_filter,datafusion.execution.batch_size,@default,2,0.316305
tpch,scan_filter,datafusion.execution.batch_size,@default,3,0.275540
futures,group_by,datafusion.execution.batch_size,@default,1,0.164508
futures,group_by,datafusion.execution.batch_size,@default,2,0.034539
futures,group_by,datafusion.execution.batch_size,@default,3,0.031623
tpch,group_by,datafusion.execution.batch_size,@default,1,0.642962
tpch,group_by,datafusion.execution.batch_size,@default,2,0.594190
tpch,group_by,datafusion.execution.batch_size,@default,3,0.560126
tpch,hash_join,datafusion.execution.batch_size,@default,1,1.490294
tpch,hash_join,datafusion.execution.batch_size,@default,2,1.146387
tpch,hash_join,datafusion.execution.batch_size,@default,3,1.086782
tpch,sort_merge_join,datafusion.execution.batch_size,@default,1,5.405502
tpch,sort_merge_join,datafusion.execution.batch_size,@default,2,5.150882
tpch,sort_merge_join,datafusion.execution.batch_size,@default,3,5.606251
futures,window,datafusion.execution.batch_size,@default,1,1.179205
futures,window,datafusion.execution.batch_size,@default,2,0.665926
futures,window,datafusion.execution.batch_size,@default,3,0.647545
iceberg,append_files,datafusion.execution.batch_size,@default,1,0.852859
iceberg,append_files,datafusion.execution.batch_size,@default,2,0.836344
iceberg,append_files,datafusion.execution.batch_size,@default,3,0.862043
iceberg,overwrite_partition,datafusion.execution.batch_size,@default,1,0.188692
iceberg,overwrite_partition,datafusion.execution.batch_size,@default,2,0.175925
iceberg,overwrite_partition,datafusion.execution.batch_size,@default,3,0.299058
iceberg,merge_updates,datafusion.execution.batch_size,@default,1,0.652496
iceberg,merge_updates,datafusion.execution.batch_size,@default,2,0.624561
iceberg,merge_updates,datafusion.execution.batch_size,@default,3,0.625244
futures,scan_filter,datafusion.execution.batch_size,16384,1,0.010466
futures,scan_filter,datafusion.execution.batch_size,16384,2,0.014921
futures,scan_filter,datafusion.execution.batch_size,16384,3,0.011468
tpch,scan_filter,datafusion.execution.batch_size,16384,1,0.188110
tpch,scan_filter,datafusion.execution.batch_size,16384,2,0.164274
tpch,scan_filter,datafusion.execution.batch_size,16384,3,0.173917
futures,group_by,datafusion.execution.batch_size,16384,1,0.022813
futures,group_by,datafusion.execution.batch_size,16384,2,0.030727
futures,group_by,datafusion.execution.batch_size,16384,3,0.030617
tpch,group_by,datafusion.execution.batch_size,16384,1,0.225200
tpch,group_by,datafusion.execution.batch_size,16384,2,0.202150
tpch,group_by,datafusion.execution.batch_size,16384,3,0.180671
tpch,hash_join,datafusion.execution.batch_size,16384,1,0.864449
tpch,hash_join,datafusion.execution.batch_size,16384,2,0.887644
tpch,hash_join,datafusion.execution.batch_size,16384,3,0.895066
tpch,sort_merge_join,datafusion.execution.batch_size,16384,1,4.943294
tpch,sort_merge_join,datafusion.execution.batch_size,16384,2,5.179263
tpch,sort_merge_join,datafusion.execution.batch_size,16384,3,5.270632
futures,window,datafusion.execution.batch_size,16384,1,1.012120
futures,window,datafusion.execution.batch_size,16384,2,0.646547
futures,window,datafusion.execution.batch_size,16384,3,0.673464
iceberg,append_files,datafusion.execution.batch_size,16384,1,0.817957
iceberg,append_files,datafusion.execution.batch_size,16384,2,0.878553
iceberg,append_files,datafusion.execution.batch_size,16384,3,1.206466
iceberg,overwrite_partition,datafusion.execution.batch_size,16384,1,0.172819
iceberg,overwrite_partition,datafusion.execution.batch_size,16384,2,0.170966
iceberg,overwrite_partition,datafusion.execution.batch_size,16384,3,0.180973
iceberg,merge_updates,datafusion.execution.batch_size,16384,1,0.696928
iceberg,merge_updates,datafusion.execution.batch_size,16384,2,0.632013
iceberg,merge_updates,datafusion.execution.batch_size,16384,3,0.596828
futures,scan_filter,datafusion.execution.batch_size,262144,1,0.011524
futures,scan_filter,datafusion.execution.batch_size,262144,2,0.011805
futures,scan_filter,datafusion.execution.batch_size,262144,3,0.011945
tpch,scan_filter,datafusion.execution.batch_size,262144,1,0.345048
tpch,scan_filter,datafusion.execution.batch_size,262144,2,0.357552
tpch,scan_filter,datafusion.execution.batch_size,262144,3,0.395917
futures,group_by,datafusion.execution.batch_size,262144,1,0.071896
futures,group_by,datafusion.execution.batch_size,262144,2,0.036095
futures,group_by,datafusion.execution.batch_size,262144,3,0.039745
tpch,group_by,datafusion.execution.batch_size,262144,1,0.615143
tpch,group_by,datafusion.execution.batch_size,262144,2,0.706017
tpch,group_by,datafusion.execution.batch_size,262144,3,0.615537
tpch,hash_join,datafusion.execution.batch_size,262144,1,1.139757
tpch,hash_join,datafusion.execution.batch_size,262144,2,1.270133
tpch,hash_join,datafusion.execution.batch_size,262144,3,1.191186
tpch,sort_merge_join,datafusion.execution.batch_size,262144,1,5.765085
