dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.execution.target_partitions,@default,1,0.174522
futures,scan_filter,datafusion.execution.target_partitions,@default,2,0.012182
futures,scan_filter,datafusion.execution.target_partitions,@default,3,0.013229
tpch,scan_filter,datafusion.execution.target_partitions,@default,1,0.366892
tpch,scan_filter,datafusion.execution.target_partitions,@default,2,0.281392
tpch,scan_filter,datafusion.execution.target_partitions,@default,3,0.267241
futures,group_by,datafusion.execution.target_partitions,@default,1,0.029042
futures,group_by,datafusion.execution.target_partitions,@default,2,0.027491
futures,group_by,datafusion.execution.target_partitions,@default,3,0.028578
tpch,group_by,datafusion.execution.target_partitions,@default,1,0.557976
tpch,group_by,datafusion.execution.target_partitions,@default,2,0.527201
tpch,group_by,datafusion.execution.target_partitions,@default,3,0.539317
tpch,hash_join,datafusion.execution.target_partitions,@default,1,1.068127
tpch,hash_join,datafusion.execution.target_partitions,@default,2,1.120767
tpch,hash_join,datafusion.execution.target_partitions,@default,3,1.089376
tpch,sort_merge_join,datafusion.execution.target_partitions,@default,1,4.927324
tpch,sort_merge_join,datafusion.execution.target_partitions,@default,2,5.268868
tpch,sort_merge_join,datafusion.execution.target_partitions,@default,3,5.190234
futures,window,datafusion.execution.target_partitions,@default,1,0.964142
futures,window,datafusion.execution.target_partitions,@default,2,0.633567
futures,window,datafusion.execution.target_partitions,@default,3,0.621911
iceberg,append_files,datafusion.execution.target_partitions,@default,1,0.797220
iceberg,append_files,datafusion.execution.target_partitions,@default,2,0.812890
iceberg,append_files,datafusion.execution.target_partitions,@default,3,0.882664
iceberg,overwrite_partition,datafusion.execution.target_partitions,@default,1,0.481701
iceberg,overwrite_partition,datafusion.execution.target_partitions,@default,2,0.219167
iceberg,overwrite_partition,datafusion.execution.target_partitions,@default,3,0.237287
iceberg,merge_updates,datafusion.execution.target_partitions,@default,1,0.707755
iceberg,merge_updates,datafusion.execution.target_partitions,@default,2,0.653396
iceberg,merge_updates,datafusion.execution.target_partitions,@default,3,0.619732
futures,scan_filter,datafusion.execution.target_partitions,32,1,0.006247
futures,scan_filter,datafusion.execution.target_partitions,32,2,0.007191
futures,scan_filter,datafusion.execution.target_partitions,32,3,0.007245
tpch,scan_filter,datafusion.execution.target_partitions,32,1,0.226428
tpch,scan_filter,datafusion.execution.target_partitions,32,2,0.241137
tpch,scan_filter,datafusion.execution.target_partitions,32,3,0.246599
futures,group_by,datafusion.execution.target_partitions,32,1,0.025675
futures,group_by,datafusion.execution.target_partitions,32,2,0.057851
futures,group_by,datafusion.execution.target_partitions,32,3,0.053575
tpch,group_by,datafusion.execution.target_partitions,32,1,0.432092
tpch,group_by,datafusion.execution.target_partitions,32,2,0.431483
tpch,group_by,datafusion.execution.target_partitions,32,3,0.446112
tpch,hash_join,datafusion.execution.target_partitions,32,1,1.064108
tpch,hash_join,datafusion.execution.target_partitions,32,2,1.197539
tpch,hash_join,datafusion.execution.target_partitions,32,3,1.222348
tpch,sort_merge_join,datafusion.execution.target_partitions,32,1,4.619439
tpch,sort_merge_join,datafusion.execution.target_partitions,32,2,4.939601
tpch,sort_merge_join,datafusion.execution.target_partitions,32,3,4.801208
futures,window,datafusion.execution.target_partitions,32,1,1.021959
futures,window,datafusion.execution.target_partitions,32,2,0.663687
futures,window,datafusion.execution.target_partitions,32,3,0.641971
iceberg,append_files,datafusion.execution.target_partitions,32,1,0.831075
iceberg,append_files,datafusion.execution.target_partitions,32,2,0.802481
iceberg,append_files,datafusion.execution.target_partitions,32,3,0.805205
iceberg,overwrite_partition,datafusion.execution.target_partitions,32,1,0.178783
iceberg,overwrite_partition,datafusion.execution.target_partitions,32,2,0.185603
iceberg,overwrite_partition,datafusion.execution.target_partitions,32,3,0.172617
iceberg,merge_updates,datafusion.execution.target_partitions,32,1,0.589813
iceberg,merge_updates,datafusion.execution.target_partitions,32,2,2.360826
iceberg,merge_updates,datafusion.execution.target_partitions,32,3,0.615551
