dataset,query,knob,value,repetition,seconds
futures,scan_filter,datafusion.optimizer.repartition_joins,@default,1,0.165496
futures,scan_filter,datafusion.optimizer.repartition_joins,@default,2,0.011113
futures,scan_filter,datafusion.optimizer.repartition_joins,@default,3,0.012855
tpch,scan_filter,datafusion.optimizer.repartition_joins,@default,1,0.377849
tpch,scan_filter,datafusion.optimizer.repartition_joins,@default,2,0.274392
tpch,scan_filter,datafusion.optimizer.repartition_joins,@default,3,0.267598
futures,group_by,datafusion.optimizer.repartition_joins,@default,1,0.026561
futures,group_by,datafusion.optimizer.repartition_joins,@default,2,0.027208
futures,group_by,datafusion.optimizer.repartition_joins,@default,3,0.029498
tpch,group_by,datafusion.optimizer.repartition_joins,@default,1,0.572549
tpch,group_by,datafusion.optimizer.repartition_joins,@default,2,0.531436
tpch,group_by,datafusion.optimizer.repartition_joins,@default,3,0.527967
tpch,hash_join,datafusion.optimizer.repartition_joins,@default,1,1.113055
tpch,hash_join,datafusion.optimizer.repartition_joins,@default,2,1.174270
tpch,hash_join,datafusion.optimizer.repartition_joins,@default,3,1.124647
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,@default,1,6.177305
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,@default,2,5.395344
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,@default,3,5.437824
futures,window,datafusion.optimizer.repartition_joins,@default,1,0.735333
futures,window,datafusion.optimizer.repartition_joins,@default,2,0.743214
futures,window,datafusion.optimizer.repartition_joins,@default,3,0.657129
iceberg,append_files,datafusion.optimizer.repartition_joins,@default,1,0.795312
iceberg,append_files,datafusion.optimizer.repartition_joins,@default,2,0.809795
iceberg,append_files,datafusion.optimizer.repartition_joins,@default,3,0.783084
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,@default,1,0.167313
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,@default,2,0.170078
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,@default,3,0.173048
iceberg,merge_updates,datafusion.optimizer.repartition_joins,@default,1,0.640264
iceberg,merge_updates,datafusion.optimizer.repartition_joins,@default,2,0.613663
iceberg,merge_updates,datafusion.optimizer.repartition_joins,@default,3,0.611119
futures,scan_filter,datafusion.optimizer.repartition_joins,false,1,0.010447
futures,scan_filter,datafusion.optimizer.repartition_joins,false,2,0.010395
futures,scan_filter,datafusion.optimizer.repartition_joins,false,3,0.011578
tpch,scan_filter,datafusion.optimizer.repartition_joins,false,1,0.313155
tpch,scan_filter,datafusion.optimizer.repartition_joins,false,2,0.285099
tpch,scan_filter,datafusion.optimizer.repartition_joins,false,3,0.271869
futures,group_by,datafusion.optimizer.repartition_joins,false,1,0.085957
futures,group_by,datafusion.optimizer.repartition_joins,false,2,0.086506
futures,group_by,datafusion.optimizer.repartition_joins,false,3,0.045627
tpch,group_by,datafusion.optimizer.repartition_joins,false,1,0.530656
tpch,group_by,datafusion.optimizer.repartition_joins,false,2,0.558623
tpch,group_by,datafusion.optimizer.repartition_joins,false,3,0.552897
tpch,hash_join,datafusion.optimizer.repartition_joins,false,1,1.134291
tpch,hash_join,datafusion.optimizer.repartition_joins,false,2,1.104007
tpch,hash_join,datafusion.optimizer.repartition_joins,false,3,1.003497
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,false,1,3.628820
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,false,2,3.690381
tpch,sort_merge_join,datafusion.optimizer.repartition_joins,false,3,3.610543
futures,window,datafusion.optimizer.repartition_joins,false,1,0.832764
futures,window,datafusion.optimizer.repartition_joins,false,2,0.649999
futures,window,datafusion.optimizer.repartition_joins,false,3,0.679679
iceberg,append_files,datafusion.optimizer.repartition_joins,false,1,0.789691
iceberg,append_files,datafusion.optimizer.repartition_joins,false,2,0.785426
iceberg,append_files,datafusion.optimizer.repartition_joins,false,3,0.824783
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,false,1,0.176973
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,false,2,0.166029
iceberg,overwrite_partition,datafusion.optimizer.repartition_joins,false,3,0.171799
iceberg,merge_updates,datafusion.optimizer.repartition_joins,false,1,0.585539
iceberg,merge_updates,datafusion.optimizer.repartition_joins,false,2,0.571332
iceberg,merge_updates,datafusion.optimizer.repartition_joins,false,3,0.574883
