dataset,query,knob,value,repetition,seconds
futures,scan_filter,write.distribution-mode,@default,1,0.161946
futures,scan_filter,write.distribution-mode,@default,2,0.012963
futures,scan_filter,write.distribution-mode,@default,3,0.012348
tpch,scan_filter,write.distribution-mode,@default,1,0.365214
tpch,scan_filter,write.distribution-mode,@default,2,0.282118
tpch,scan_filter,write.distribution-mode,@default,3,0.267517
futures,group_by,write.distribution-mode,@default,1,0.033860
futures,group_by,write.distribution-mode,@default,2,0.029516
futures,group_by,write.distribution-mode,@default,3,0.029300
tpch,group_by,write.distribution-mode,@default,1,0.560681
tpch,group_by,write.distribution-mode,@default,2,0.519348
tpch,group_by,write.distribution-mode,@default,3,0.523100
tpch,hash_join,write.distribution-mode,@default,1,1.104011
tpch,hash_join,write.distribution-mode,@default,2,1.149937
tpch,hash_join,write.distribution-mode,@default,3,1.025721
tpch,sort_merge_join,write.distribution-mode,@default,1,4.992895
tpch,sort_merge_join,write.distribution-mode,@default,2,5.440743
tpch,sort_merge_join,write.distribution-mode,@default,3,5.665871
futures,window,write.distribution-mode,@default,1,0.710147
futures,window,write.distribution-mode,@default,2,0.847939
futures,window,write.distribution-mode,@default,3,0.683482
iceberg,append_files,write.distribution-mode,@default,1,0.772407
iceberg,append_files,write.distribution-mode,@default,2,0.812387
iceberg,append_files,write.distribution-mode,@default,3,0.769628
iceberg,overwrite_partition,write.distribution-mode,@default,1,0.180576
iceberg,overwrite_partition,write.distribution-mode,@default,2,0.186171
iceberg,overwrite_partition,write.distribution-mode,@default,3,0.168337
iceberg,merge_updates,write.distribution-mode,@default,1,0.629360
iceberg,merge_updates,write.distribution-mode,@default,2,0.643485
iceberg,merge_updates,write.distribution-mode,@default,3,0.623623
futures,scan_filter,write.distribution-mode,none,1,0.011326
futures,scan_filter,write.distribution-mode,none,2,0.012537
futures,scan_filter,write.distribution-mode,none,3,0.011039
tpch,scan_filter,write.distribution-mode,none,1,0.304018
tpch,scan_filter,write.distribution-mode,none,2,0.272878
tpch,scan_filter,write.distribution-mode,none,3,0.324669
futures,group_by,write.distribution-mode,none,1,0.029290
futures,group_by,write.distribution-mode,none,2,0.094132
futures,group_by,write.distribution-mode,none,3,0.043640
tpch,group_by,write.distribution-mode,none,1,0.536615
tpch,group_by,write.distribution-mode,none,2,0.541260
tpch,group_by,write.distribution-mode,none,3,0.518992
tpch,hash_join,write.distribution-mode,none,1,1.100674
tpch,hash_join,write.distribution-mode,none,2,1.112058
tpch,hash_join,write.distribution-mode,none,3,1.108940
tpch,sort_merge_join,write.distribution-mode,none,1,5.845663
tpch,sort_merge_join,write.distribution-mode,none,2,5.645677
tpch,sort_merge_join,write.distribution-mode,none,3,5.525201
futures,window,write.distribution-mode,none,1,1.061227
futures,window,write.distribution-mode,none,2,0.647287
futures,window,write.distribution-mode,none,3,0.678344
iceberg,append_files,write.distribution-mode,none,1,0.805407
iceberg,append_files,write.distribution-mode,none,2,0.790118
iceberg,append_files,write.distribution-mode,none,3,0.799882
iceberg,overwrite_partition,write.distribution-mode,none,1,0.168531
iceberg,overwrite_partition,write.distribution-mode,none,2,0.171147
iceberg,overwrite_partition,write.distribution-mode,none,3,0.166212
iceberg,merge_updates,write.distribution-mode,none,1,0.768867
iceberg,merge_updates,write.distribution-mode,none,2,0.787785
iceberg,merge_updates,write.distribution-mode,none,3,0.746405
futures,scan_filter,write.distribution-mode,hash,1,0.015054
futures,scan_filter,write.distribution-mode,hash,2,0.011933
futures,scan_filter,write.distribution-mode,hash,3,0.012161
tpch,scan_filter,write.distribution-mode,hash,1,0.285131
tpch,scan_filter,write.distribution-mode,hash,2,0.275343
tpch,scan_filter,write.distribution-mode,hash,3,0.292534
futures,group_by,write.distribution-mode,hash,1,0.094583
futures,group_by,write.distribution-mode,hash,2,0.034374
futures,group_by,write.distribution-mode,hash,3,0.031492
tpch,group_by,write.distribution-mode,hash,1,0.535843
tpch,group_by,write.distribution-mode,hash,2,0.522328
tpch,group_by,write.distribution-mode,hash,3,0.530909
tpch,hash_join,write.distribution-mode,hash,1,1.067664
tpch,hash_join,write.distribution-mode,hash,2,1.014396
tpch,hash_join,write.distribution-mode,hash,3,0.991288
tpch,sort_merge_join,write.distribution-mode,hash,1,5.730655
tpch,sort_merge_join,write.distribution-mode,hash,2,5.831321
tpch,sort_merge_join,write.distribution-mode,hash,3,5.738795
futures,window,write.distribution-mode,hash,1,0.876743
futures,window,write.distribution-mode,hash,2,0.747415
futures,window,write.distribution-mode,hash,3,0.647609
iceberg,append_files,write.distribution-mode,hash,1,0.804358
iceberg,append_files,write.distribution-mode,hash,2,0.791317
iceberg,append_files,write.distribution-mode,hash,3,0.795622
iceberg,overwrite_partition,write.distribution-mode,hash,1,0.191045
iceberg,overwrite_partition,write.distribution-mode,hash,2,0.172023
iceberg,overwrite_partition,write.distribution-mode,hash,3,0.169339
iceberg,merge_updates,write.distribution-mode,hash,1,0.610994
iceberg,merge_updates,write.distribution-mode,hash,2,0.621161
iceberg,merge_updates,write.distribution-mode,hash,3,0.610161
futures,scan_filter,write.distribution-mode,range,1,0.010420
futures,scan_filter,write.distribution-mode,range,2,0.012623
futures,scan_filter,write.distribution-mode,range,3,0.011252
tpch,scan_filter,write.distribution-mode,range,1,0.324446
tpch,scan_filter,write.distribution-mode,range,2,0.314252
tpch,scan_filter,write.distribution-mode,range,3,0.278550
futures,group_by,write.distribution-mode,range,1,0.023024
futures,group_by,write.distribution-mode,range,2,0.083707
futures,group_by,write.distribution-mode,range,3,0.114929
tpch,group_by,write.distribution-mode,range,1,0.525547
tpch,group_by,write.distribution-mode,range,2,0.528592
tpch,group_by,write.distribution-mode,range,3,0.532838
tpch,hash_join,write.distribution-mode,range,1,1.092387
tpch,hash_join,write.distribution-mode,range,2,1.431787
tpch,hash_join,write.distribution-mode,range,3,1.106586
tpch,sort_merge_join,write.distribution-mode,range,1,5.530498
tpch,sort_merge_join,write.distribution-mode,range,2,6.010593
tpch,sort_merge_join,write.distribution-mode,range,3,5.677263
futures,window,write.distribution-mode,range,1,0.891158
futures,window,write.distribution-mode,range,2,0.759160
futures,window,write.distribution-mode,range,3,0.669058
iceberg,append_files,write.distribution-mode,range,1,0.787820
iceberg,append_files,write.distribution-mode,range,2,0.787081
iceberg,append_files,write.distribution-mode,range,3,0.794491
iceberg,overwrite_partition,write.distribution-mode,range,1,0.188286
iceberg,overwrite_partition,write.distribution-mode,range,2,0.168680
iceberg,overwrite_partition,write.distribution-mode,range,3,0.179782
iceberg,merge_updates,write.distribution-mode,range,1,0.729558
iceberg,merge_updates,write.distribution-mode,range,2,0.586925
iceberg,merge_updates,write.distribution-mode,range,3,0.710319
