dataset,query,knob,value,repetition,seconds
futures,scan_filter,write.target-file-size-bytes,@default,1,0.169050
futures,scan_filter,write.target-file-size-bytes,@default,2,0.011860
futures,scan_filter,write.target-file-size-bytes,@default,3,0.011299
tpch,scan_filter,write.target-file-size-bytes,@default,1,0.384010
tpch,scan_filter,write.target-file-size-bytes,@default,2,0.276509
tpch,scan_filter,write.target-file-size-bytes,@default,3,0.257164
futures,group_by,write.target-file-size-bytes,@default,1,0.027442
futures,group_by,write.target-file-size-bytes,@default,2,0.027135
futures,group_by,write.target-file-size-bytes,@default,3,0.029036
tpch,group_by,write.target-file-size-bytes,@default,1,0.553092
tpch,group_by,write.target-file-size-bytes,@default,2,0.523325
tpch,group_by,write.target-file-size-bytes,@default,3,0.519885
tpch,hash_join,write.target-file-size-bytes,@default,1,1.039559
tpch,hash_join,write.target-file-size-bytes,@default,2,1.073567
tpch,hash_join,write.target-file-size-bytes,@default,3,1.229047
tpch,sort_merge_join,write.target-file-size-bytes,@default,1,5.017670
tpch,sort_merge_join,write.target-file-size-bytes,@default,2,5.144598
tpch,sort_merge_join,write.target-file-size-bytes,@default,3,5.417869
futures,window,write.target-file-size-bytes,@default,1,0.947466
futures,window,write.target-file-size-bytes,@default,2,0.691753
futures,window,write.target-file-size-bytes,@default,3,0.661956
iceberg,append_files,write.target-file-size-bytes,@default,1,0.795082
iceberg,append_files,write.target-file-size-bytes,@default,2,0.863338
iceberg,append_files,write.target-file-size-bytes,@default,3,0.779808
iceberg,overwrite_partition,write.target-file-size-bytes,@default,1,0.167393
iceberg,overwrite_partition,write.target-file-size-bytes,@default,2,0.168113
iceberg,overwrite_partition,write.target-file-size-bytes,@default,3,0.166414
iceberg,merge_updates,write.target-file-size-bytes,@default,1,0.596271
iceberg,merge_updates,write.target-file-size-bytes,@default,2,0.609669
iceberg,merge_updates,write.target-file-size-bytes,@default,3,0.572082
futures,scan_filter,write.target-file-size-bytes,268435456,1,0.010689
futures,scan_filter,write.target-file-size-bytes,268435456,2,0.011101
futures,scan_filter,write.target-file-size-bytes,268435456,3,0.013284
tpch,scan_filter,write.target-file-size-bytes,268435456,1,0.289342
tpch,scan_filter,write.target-file-size-bytes,268435456,2,0.295867
tpch,scan_filter,write.target-file-size-bytes,268435456,3,0.270655
futures,group_by,write.target-file-size-bytes,268435456,1,0.069228
futures,group_by,write.target-file-size-bytes,268435456,2,0.133342
futures,group_by,write.target-file-size-bytes,268435456,3,0.068783
tpch,group_by,write.target-file-size-bytes,268435456,1,0.531030
tpch,group_by,write.target-file-size-bytes,268435456,2,0.535363
tpch,group_by,write.target-file-size-bytes,268435456,3,0.540123
tpch,hash_join,write.target-file-size-bytes,268435456,1,1.256971
tpch,hash_join,write.target-file-size-bytes,268435456,2,1.124149
tpch,hash_join,write.target-file-size-bytes,268435456,3,1.022511
tpch,sort_merge_join,write.target-file-size-bytes,268435456,1,5.117181
tpch,sort_merge_join,write.target-file-size-bytes,268435456,2,5.388070
tpch,sort_merge_join,write.target-file-size-bytes,268435456,3,5.544190
futures,window,write.target-file-size-bytes,268435456,1,0.989076
futures,window,write.target-file-size-bytes,268435456,2,0.671400
futures,window,write.target-file-size-bytes,268435456,3,0.670967
iceberg,append_files,write.target-file-size-bytes,268435456,1,0.786035
iceberg,append_files,write.target-file-size-bytes,268435456,2,0.792409
iceberg,append_files,write.target-file-size-bytes,268435456,3,0.796502
iceberg,overwrite_partition,write.target-file-size-bytes,268435456,1,0.174729
iceberg,overwrite_partition,write.target-file-size-bytes,268435456,2,0.169529
iceberg,overwrite_partition,write.target-file-size-bytes,268435456,3,0.168883
iceberg,merge_updates,write.target-file-size-bytes,268435456,1,0.576624
iceberg,merge_updates,write.target-file-size-bytes,268435456,2,0.616593
iceberg,merge_updates,write.target-file-size-bytes,268435456,3,0.602241
futures,scan_filter,write.target-file-size-bytes,1073741824,1,0.010156
futures,scan_filter,write.target-file-size-bytes,1073741824,2,0.012994
futures,scan_filter,write.target-file-size-bytes,1073741824,3,0.011200
tpch,scan_filter,write.target-file-size-bytes,1073741824,1,0.298075
tpch,scan_filter,write.target-file-size-bytes,1073741824,2,0.267554
